hgnc_symbol	curated_protein_type
LOX	ECM/Ligand
COL4A5	ECM/Ligand
SFTPD	ECM/Ligand
THBS2	ECM/Ligand
FBN1	ECM/Ligand
FBN2	ECM/Ligand
TIMP3	ECM/Ligand
CHI3L1	ECM/Ligand
COL15A1	ECM/Ligand
COL18A1	ECM/Ligand
TFPI2	ECM/Ligand
COMP	ECM/Ligand
LUM	ECM/Ligand
PRELP	ECM/Ligand
COL4A4	ECM/Ligand
CRISP3	ECM/Ligand
MFAP2	ECM/Ligand
MFAP4	ECM/Ligand
PRSS12	ECM/Ligand
ADAMTS12	ECM/Ligand
ADAMTS20	ECM/Ligand
DEFA1	ECM/Ligand
DEFA1B	ECM/Ligand
DEFA3	ECM/Ligand
GPC5	ECM/Ligand
ADAMTSL3	ECM/Ligand
FBLN2	ECM/Ligand
HSPG2	ECM/Ligand
COL7A1	ECM/Ligand
MUC3A	ECM/Ligand
COL10A1	ECM/Ligand
COL14A1	ECM/Ligand
FMOD	ECM/Ligand
DPT	ECM/Ligand
LOXL1	ECM/Ligand
SPOCK1	ECM/Ligand
MFAP5	ECM/Ligand
LAMB3	ECM/Ligand
LAMC2	ECM/Ligand
COL4A6	ECM/Ligand
COL9A3	ECM/Ligand
COL9A2	ECM/Ligand
NID2	ECM/Ligand
SPARCL1	ECM/Ligand
COL19A1	ECM/Ligand
POSTN	ECM/Ligand
PCOLCE	ECM/Ligand
TPSAB1	ECM/Ligand
IGFBP7	ECM/Ligand
IMPG1	ECM/Ligand
COL24A1	ECM/Ligand
COL28A1	ECM/Ligand
GFOD2	ECM/Ligand
FBLN7	ECM/Ligand
VWA2	ECM/Ligand
PRSS36	ECM/Ligand
CPZ	ECM/Ligand
OLFML2A	ECM/Ligand
OLFML2B	ECM/Ligand
CHADL	ECM/Ligand
VWA1	ECM/Ligand
PODNL1	ECM/Ligand
AMTN	ECM/Ligand
CCBE1	ECM/Ligand
MUC6	ECM/Ligand
ADAMTSL5	ECM/Ligand
THSD4	ECM/Ligand
OTOG	ECM/Ligand
FBN3	ECM/Ligand
OTOA	ECM/Ligand
ABI3BP	ECM/Ligand
ADAMTSL2	ECM/Ligand
HAPLN4	ECM/Ligand
CILP2	ECM/Ligand
AEBP1	ECM/Ligand
SFTPA2	ECM/Ligand
SFTPA1	ECM/Ligand
COL27A1	ECM/Ligand
MMP21	ECM/Ligand
GPC2	ECM/Ligand
CPXM2	ECM/Ligand
CPA6	ECM/Ligand
ADAMTSL1	ECM/Ligand
COL22A1	ECM/Ligand
FGFBP3	ECM/Ligand
NDNF	ECM/Ligand
ADAMTS17	ECM/Ligand
ADAMTS16	ECM/Ligand
ADAMTS15	ECM/Ligand
ADAMTS19	ECM/Ligand
ADAMTS18	ECM/Ligand
UCMA	ECM/Ligand
ADAMTS14	ECM/Ligand
SPOCK2	ECM/Ligand
HTRA1	ECM/Ligand
TNR	ECM/Ligand
EMID1	ECM/Ligand
BCAN	ECM/Ligand
COL21A1	ECM/Ligand
HMCN1	ECM/Ligand
AMELY	ECM/Ligand
MMP19	ECM/Ligand
EPYC	ECM/Ligand
COL12A1	ECM/Ligand
TIMP4	ECM/Ligand
OMD	ECM/Ligand
SPOCK3	ECM/Ligand
SOST	ECM/Ligand
SPON2	ECM/Ligand
ASPN	ECM/Ligand
EMILIN2	ECM/Ligand
ANGPTL4	ECM/Ligand
HAPLN2	ECM/Ligand
CRISPLD2	ECM/Ligand
MMP28	ECM/Ligand
MMP27	ECM/Ligand
ADAMTS10	ECM/Ligand
MMRN2	ECM/Ligand
MMP25	ECM/Ligand
MEPE	ECM/Ligand
CRTAC1	ECM/Ligand
MMP26	ECM/Ligand
ENAM	ECM/Ligand
LTBP3	ECM/Ligand
EMILIN3	ECM/Ligand
DSPP	ECM/Ligand
COL20A1	ECM/Ligand
ADAMTS9	ECM/Ligand
OPTC	ECM/Ligand
ADAMTS7	ECM/Ligand
ADAMTS6	ECM/Ligand
MMP17	ECM/Ligand
GPC6	ECM/Ligand
EMILIN1	ECM/Ligand
LAMC3	ECM/Ligand
CALR	ECM/Ligand
CTGF	ECM/Ligand
TNXB	ECM/Ligand
DMP1	ECM/Ligand
NOV	ECM/Ligand
SFRP1	ECM/Ligand
COL4A2	ECM/Ligand
CLU	ECM/Ligand
VCAN	ECM/Ligand
CMA1	ECM/Ligand
COL8A1	ECM/Ligand
GPLD1	ECM/Ligand
LTBP2	ECM/Ligand
HPSE2	ECM/Ligand
NYX	ECM/Ligand
ADIPOQ	Receptor/Ligand
OLFM1	Receptor/Ligand
OLFM2	Receptor/Ligand
OLFM3	Receptor/Ligand
PTN	Receptor/Ligand
VWC2L	Receptor/Ligand
SEMA3A	Receptor/Ligand
SEMA3C	Receptor/Ligand
SEMA3E	Receptor/Ligand
SEMA3F	Receptor/Ligand
SEMA3G	Receptor/Ligand
F2	Receptor/Ligand
IL12B	Receptor/Ligand
NPY	Receptor/Ligand
CSF1	Receptor/Ligand
FGF13	Receptor/Ligand
TNFSF11	Receptor/Ligand
FCN1	Receptor/Ligand
LOXL3	Receptor/Ligand
LOXL4	Receptor/Ligand
PRG4	Receptor/Ligand
IFNL1	Receptor/Ligand
IL6	Receptor/Ligand
ACHE	ECM
ADAMTS1	ECM
CASK	ECM
COL17A1	ECM
COL26A1	ECM
CRIP2	ECM
DGCR6	ECM
DLG1	ECM
DST	ECM
ENTPD2	ECM
ERBB2IP	ECM
GPC1	ECM
GPC3	ECM
GPC4	ECM
HNRNPM	ECM
HSD17B12	ECM
HSP90AA1	ECM
KCNIP1	ECM
KCNIP2	ECM
KCNIP3	ECM
KRT1	ECM
LGALS1	ECM
LGALS3	ECM
LMCD1	ECM
MMP16	ECM
MMP23B	ECM
MMP24	ECM
NAV2	ECM
PCSK6	ECM
PKM	ECM
RUNX1	ECM
SERAC1	ECM
SERPINF1	ECM
SMC3	ECM
SNCA	ECM
SOD1	ECM
SPON1	ECM
TFIP11	ECM
TGFB1I1	ECM
TGM4	ECM
TNNC2	ECM
USH2A	ECM
ZP1	ECM
HAPLN3	ECM
MMP12	ECM
ADAMTS4	ECM
FRAS1	ECM
MFAP1	ECM
CHL1	ECM
HPCAL1	ECM
P3H2	ECM
PLS1	ECM
LAD1	ECM
GUCA1A	ECM
KCNIP4	ECM
FLRT2	ECM
EFHB	ECM
CD248	ECM
TECTB	ECM
FLRT3	ECM
LECT1	ECM
TECTA	ECM
P3H1	ECM
FLRT1	ECM
PODN	ECM
RPTN	ECM
RELL2	ECM
MMP15	ECM
ALPL	ECM
CDON	ECM
FER	ECM
FREM2	ECM
HMCN2	ECM
ENTPD1	ECM
MUC17	ECM
TUFT1	ECM
CDH8	ECM
SLC1A3	ECM
ALPP	Receptor
CEACAM8	Receptor
CDH13	Receptor
BST1	Receptor
AOC2	Receptor
ALPI	Receptor
ALPPL2	Receptor
CD226	Receptor
CD276	Receptor
CD320	Receptor
CD58	Receptor
CD70	Receptor
CD9	Receptor
CD151	Receptor
GAS1	Receptor
THY1	Receptor
FAP	Receptor
OPCML	Receptor
FOLR4	Receptor
VPREB1	Receptor
CERCAM	Receptor
ASTL	Receptor
LYPD2	Receptor
LY6H	Receptor
OMG	Receptor
GGT5	Receptor
NRN1L	Receptor
SPRN	Receptor
LYPD4	Receptor
LYPD1	Receptor
SPACA4	Receptor
NTNG2	Receptor
DPEP3	Receptor
VNN3	Receptor
NTNG1	Receptor
PRSS21	Receptor
ALCAM	Receptor
PTPRJ	Receptor
TIGIT	Receptor
FOLR3	Receptor
ADRBK1	Receptor
GRIP1	Receptor
AQP1	Receptor
HCST	Receptor
HLA-A	Receptor
HLA-B	Receptor
HLA-C	Receptor
HLA-E	Receptor
HLA-F	Receptor
IGHA1	Receptor
L1CAM	Receptor
PLSCR4	Receptor
PPAP2B	Receptor
VCAM1	Receptor
VSTM1	Receptor
TRABD2B	Receptor
AOC3	Receptor
TMEM52B	Receptor
KCNA5	Receptor
KLB	Receptor
KL	Receptor
ANKAR	Receptor
BTNL2	Receptor
CDH5	Receptor
GPNMB	Receptor
HLA-G	Receptor
KCNJ10	Receptor
KCNJ8	Receptor
MAG	Receptor
MRAP	Receptor
MRAP2	Receptor
PANX1	Receptor
SLC2A2	Receptor
SLC39A1	Receptor
TMED1	Receptor
TRDN	Receptor
ZNRF3	Receptor
VSTM2B	Receptor
EBAG9	Receptor
MXRA7	Receptor
ECSCR	Receptor
WSCD2	Receptor
LDLRAD2	Receptor
ENPP7	Receptor
HS6ST3	Receptor
IFI27L2	Receptor
RDH8	Receptor
AQPEP	Receptor
NPTXR	Receptor
PTPRCAP	Receptor
JAM3	Receptor
ICAM2	Receptor
ICAM3	Receptor
ICAM4	Receptor
ICAM5	Receptor
TMEM155	Receptor
NA	Receptor
TSPAN8	Receptor
ADAM15	Receptor
ADAM17	Receptor
ADAM2	Receptor
ADAM23	Receptor
ADAM9	Receptor
CADM1	Receptor
CSPG5	Receptor
DLL1	Receptor
ICOSLG	Receptor
JAG1	Receptor
RAET1E	Receptor
RAET1G	Receptor
LINGO1	Receptor
ADAM10	Receptor
ADAM22	Receptor
AMICA1	Receptor
CRTAM	Receptor
DLL3	Receptor
DLL4	Receptor
JAG2	Receptor
LRRC4B	Receptor
SELPLG	Receptor
SYNDIG1	Receptor
CLEC2B	Receptor
CMTM1	Receptor
CMTM2	Receptor
CMTM3	Receptor
CMTM4	Receptor
CMTM5	Receptor
CMTM6	Receptor
CMTM7	Receptor
CMTM8	Receptor
TSPAN4	Receptor
CD40LG	Receptor
MICA	Receptor
MICB	Receptor
MS4A1	Receptor
IZUMO1	Receptor
RAET1L	Receptor
VTCN1	Receptor
MFI2	Receptor
CNTN2	Receptor
CNTN1	Receptor
CNTN4	Receptor
MDGA1	Receptor
CNTN5	Receptor
CNTN3	Receptor
EFNA1	Receptor
EFNA2	Receptor
EFNA3	Receptor
EFNA4	Receptor
EFNA5	Receptor
EFNB1	Receptor
ULBP3	Receptor
EFNB2	Receptor
EFNB3	Receptor
HFE	Receptor
TRGV9	Receptor
SEMA3B	Receptor
SEMA3D	Receptor
HNF4A	Receptor
HNF4G	Receptor
ESR1	Receptor
AR	Receptor
ESR2	Receptor
ESRRA	Receptor
ESRRB	Receptor
ESRRG	Receptor
NR0B1	Receptor
NR0B2	Receptor
NR1D1	Receptor
NR1D2	Receptor
NR1H2	Receptor
NR1H3	Receptor
NR1H4	Receptor
NR1I2	Receptor
NR1I3	Receptor
NR2C1	Receptor
NR2C2	Receptor
NR2E1	Receptor
NR2E3	Receptor
NR2F1	Receptor
NR2F2	Receptor
NR2F6	Receptor
NR3C1	Receptor
NR3C2	Receptor
NR4A1	Receptor
NR4A2	Receptor
NR4A3	Receptor
NR5A1	Receptor
NR5A2	Receptor
NR6A1	Receptor
PGR	Receptor
PGRMC2	Receptor
PPARA	Receptor
PPARD	Receptor
PPARG	Receptor
RARA	Receptor
RARB	Receptor
RARG	Receptor
RORA	Receptor
RORB	Receptor
RORC	Receptor
RXRA	Receptor
RXRB	Receptor
RXRG	Receptor
THRA	Receptor
VDR	Receptor
AHR	Receptor
AIP	Receptor
WRB	Receptor
UNC13B	Receptor
ABCC8	Receptor
ABCC9	Receptor
ACKR1	Receptor
ACKR2	Receptor
ACKR3	Receptor
ACKR4	Receptor
ACVR1	Receptor
ACVR1B	Receptor
ACVR1C	Receptor
ACVR2A	Receptor
ACVR2B	Receptor
ACVRL1	Receptor
ADCYAP1R1	Receptor
ADGRA1	Receptor
ADGRA3	Receptor
ADGRB2	Receptor
ADGRD1	Receptor
ADGRD2	Receptor
ADGRE1	Receptor
ADGRE2	Receptor
ADGRE3	Receptor
ADGRF1	Receptor
ADGRF2	Receptor
ADGRF3	Receptor
ADGRF4	Receptor
ADGRG4	Receptor
ADGRG5	Receptor
ADGRG7	Receptor
ADGRL2	Receptor
ADGRL3	Receptor
ADIPOR1	Receptor
ADIPOR2	Receptor
ADORA1	Receptor
ADORA2A	Receptor
ADORA2B	Receptor
ADORA3	Receptor
ADRA1A	Receptor
ADRA1B	Receptor
ADRA1D	Receptor
ADRA2A	Receptor
ADRA2B	Receptor
ADRA2C	Receptor
ADRB1	Receptor
ADRB2	Receptor
ADRB3	Receptor
AGTR1	Receptor
AGTR2	Receptor
ALK	Receptor
AMHR2	Receptor
ANPEP	Receptor
ANTXR1	Receptor
ANTXR2	Receptor
APLNR	Receptor
APOBR	Receptor
ASGR1	Receptor
ATP6AP2	Receptor
ATRN	Receptor
AVPR1A	Receptor
AVPR1B	Receptor
AVPR2	Receptor
AXL	Receptor
BCAM	Receptor
BDKRB1	Receptor
BDKRB2	Receptor
BMPR1A	Receptor
BMPR1B	Receptor
BMPR2	Receptor
BRS3	Receptor
BTLA	Receptor
C3AR1	Receptor
C5AR1	Receptor
C5AR2	Receptor
CALCR	Receptor
CALCRL	Receptor
CASR	Receptor
CCKAR	Receptor
CCKBR	Receptor
CCR1	Receptor
CCR10	Receptor
CCR2	Receptor
CCR3	Receptor
CCR4	Receptor
CCR5	Receptor
CCR6	Receptor
CCR7	Receptor
CCR8	Receptor
CCR9	Receptor
CCRL2	Receptor
CD160	Receptor
CD2	Receptor
CD244	Receptor
CD247	Receptor
CD27	Receptor
CD300A	Receptor
CD300C	Receptor
CD36	Receptor
CD3D	Receptor
CD3E	Receptor
CD3G	Receptor
CD40	Receptor
CD44	Receptor
CD55	Receptor
CD7	Receptor
CD80	Receptor
CD84	Receptor
CD86	Receptor
CD93	Receptor
CELSR1	Receptor
CELSR2	Receptor
CELSR3	Receptor
CHRM1	Receptor
CHRM2	Receptor
CHRM3	Receptor
CHRM4	Receptor
CHRM5	Receptor
CHRNA1	Receptor
CHRNA2	Receptor
CHRNA3	Receptor
CHRNA4	Receptor
CHRNA5	Receptor
CHRNA6	Receptor
CHRNA7	Receptor
CHRNB1	Receptor
CHRNB2	Receptor
CHRNB4	Receptor
CHRNE	Receptor
CHRNG	Receptor
CLEC1B	Receptor
CLEC2D	Receptor
CLEC4M	Receptor
CLEC7A	Receptor
CMKLR1	Receptor
CNR1	Receptor
CNR2	Receptor
CNTFR	Receptor
COLEC12	Receptor
CR1	Receptor
CR2	Receptor
CRHR1	Receptor
CRHR2	Receptor
CSF1R	Receptor
CSF2RA	Receptor
CSF2RB	Receptor
CSF3R	Receptor
CUBN	Receptor
CUL5	Receptor
CX3CR1	Receptor
CXADR	Receptor
CXCR1	Receptor
CXCR2	Receptor
CXCR3	Receptor
CXCR4	Receptor
CXCR5	Receptor
CXCR6	Receptor
CYSLTR1	Receptor
CYSLTR2	Receptor
DCC	Receptor
DDR1	Receptor
DDR2	Receptor
DNER	Receptor
DPP4	Receptor
DRD1	Receptor
DRD2	Receptor
DRD3	Receptor
DRD4	Receptor
DRD5	Receptor
EDA2R	Receptor
EDAR	Receptor
EDNRA	Receptor
EDNRB	Receptor
EGFR	Receptor
EPHA1	Receptor
EPHA10	Receptor
EPHA2	Receptor
EPHA3	Receptor
EPHA4	Receptor
EPHA5	Receptor
EPHA6	Receptor
EPHA7	Receptor
EPHA8	Receptor
EPHB1	Receptor
EPHB2	Receptor
EPHB3	Receptor
EPHB4	Receptor
EPHB6	Receptor
EPOR	Receptor
ERBB2	Receptor
ERBB3	Receptor
ERBB4	Receptor
F2R	Receptor
F2RL1	Receptor
F2RL2	Receptor
F2RL3	Receptor
FAS	Receptor
FCAMR	Receptor
FCER1A	Receptor
FCER1G	Receptor
FCGR1B	Receptor
FCGRT	Receptor
FFAR1	Receptor
FFAR2	Receptor
FFAR3	Receptor
FFAR4	Receptor
FGFR1	Receptor
FGFR3	Receptor
FGFR4	Receptor
FGFRL1	Receptor
FLT1	Receptor
FLT3	Receptor
FLT4	Receptor
FOLR1	Receptor
FPR1	Receptor
FPR2	Receptor
FPR3	Receptor
FSHR	Receptor
FZD1	Receptor
FZD10	Receptor
FZD2	Receptor
FZD3	Receptor
FZD5	Receptor
FZD6	Receptor
FZD7	Receptor
FZD8	Receptor
FZD9	Receptor
GABBR1	Receptor
GABBR2	Receptor
GABRA1	Receptor
GABRA2	Receptor
GABRA3	Receptor
GABRA4	Receptor
GABRA5	Receptor
GABRA6	Receptor
GABRB1	Receptor
GABRB2	Receptor
GABRB3	Receptor
GABRE	Receptor
GALR1	Receptor
GALR2	Receptor
GALR3	Receptor
GCGR	Receptor
GFRA1	Receptor
GFRA2	Receptor
GFRA3	Receptor
GFRA4	Receptor
GHR	Receptor
GHRHR	Receptor
GHSR	Receptor
GIPR	Receptor
GLP1R	Receptor
GLP2R	Receptor
GNRHR	Receptor
GP6	Receptor
GPBAR1	Receptor
GPR1	Receptor
GPR101	Receptor
GPR119	Receptor
GPR12	Receptor
GPR132	Receptor
GPR135	Receptor
GPR139	Receptor
GPR141	Receptor
GPR142	Receptor
GPR143	Receptor
GPR146	Receptor
GPR148	Receptor
GPR149	Receptor
GPR15	Receptor
GPR150	Receptor
GPR151	Receptor
GPR152	Receptor
GPR153	Receptor
GPR156	Receptor
GPR157	Receptor
GPR158	Receptor
GPR160	Receptor
GPR161	Receptor
GPR162	Receptor
GPR17	Receptor
GPR171	Receptor
GPR173	Receptor
GPR174	Receptor
GPR176	Receptor
GPR179	Receptor
GPR18	Receptor
GPR182	Receptor
GPR183	Receptor
GPR19	Receptor
GPR20	Receptor
GPR21	Receptor
GPR22	Receptor
GPR25	Receptor
GPR26	Receptor
GPR27	Receptor
GPR3	Receptor
GPR31	Receptor
GPR32	Receptor
GPR33	Receptor
GPR34	Receptor
GPR35	Receptor
GPR37	Receptor
GPR37L1	Receptor
GPR39	Receptor
GPR4	Receptor
GPR42	Receptor
GPR45	Receptor
GPR50	Receptor
GPR52	Receptor
GPR55	Receptor
GPR6	Receptor
GPR61	Receptor
GPR62	Receptor
GPR63	Receptor
GPR65	Receptor
GPR68	Receptor
GPR75	Receptor
GPR78	Receptor
GPR82	Receptor
GPR83	Receptor
GPR84	Receptor
GPR85	Receptor
GPR87	Receptor
GPR88	Receptor
GPRC5A	Receptor
GPRC5B	Receptor
GPRC5C	Receptor
GPRC5D	Receptor
GPRC6A	Receptor
GRIA1	Receptor
GRIA2	Receptor
GRIA3	Receptor
GRIA4	Receptor
GRID1	Receptor
GRID2	Receptor
GRIK1	Receptor
GRIK2	Receptor
GRIK3	Receptor
GRIK4	Receptor
GRIK5	Receptor
GRIN2A	Receptor
GRIN2B	Receptor
GRIN2C	Receptor
GRIN2D	Receptor
GRIN3A	Receptor
GRIN3B	Receptor
GRM1	Receptor
GRM2	Receptor
GRM3	Receptor
GRM4	Receptor
GRM5	Receptor
GRM6	Receptor
GRM7	Receptor
GRM8	Receptor
GRPR	Receptor
GYPA	Receptor
HCAR1	Receptor
HCAR2	Receptor
HCAR3	Receptor
HCRTR1	Receptor
HCRTR2	Receptor
HRH1	Receptor
HRH2	Receptor
HRH3	Receptor
HRH4	Receptor
HTR1A	Receptor
HTR1B	Receptor
HTR1D	Receptor
HTR1E	Receptor
HTR1F	Receptor
HTR2A	Receptor
HTR2B	Receptor
HTR2C	Receptor
HTR3A	Receptor
HTR3B	Receptor
HTR3C	Receptor
HTR3D	Receptor
HTR3E	Receptor
HTR4	Receptor
HTR5A	Receptor
HTR6	Receptor
HTR7	Receptor
HYAL2	Receptor
ICAM1	Receptor
IFNAR1	Receptor
IFNAR2	Receptor
IFNGR1	Receptor
IFNGR2	Receptor
IFNLR1	Receptor
IGF1R	Receptor
IGF2R	Receptor
IL10RA	Receptor
IL10RB	Receptor
IL11RA	Receptor
IL12RB1	Receptor
IL12RB2	Receptor
IL17RA	Receptor
IL17RB	Receptor
IL17RC	Receptor
IL17RD	Receptor
IL17RE	Receptor
IL18R1	Receptor
IL1R1	Receptor
IL1R2	Receptor
IL1RAP	Receptor
IL1RL2	Receptor
IL20RA	Receptor
IL20RB	Receptor
IL22RA1	Receptor
IL22RA2	Receptor
IL23R	Receptor
IL27RA	Receptor
IL2RA	Receptor
IL2RB	Receptor
IL2RG	Receptor
IL31RA	Receptor
IL3RA	Receptor
IL4R	Receptor
IL5RA	Receptor
IL6R	Receptor
IL6ST	Receptor
IL7R	Receptor
ILDR1	Receptor
INSR	Receptor
INSRR	Receptor
ITGA11	Receptor
ITGA2	Receptor
ITGAL	Receptor
ITGAX	Receptor
ITGB2	Receptor
ITGB3	Receptor
ITGB5	Receptor
ITGB6	Receptor
ITGB7	Receptor
ITPR2	Receptor
ITPR3	Receptor
IZUMO1R	Receptor
KDR	Receptor
KIR2DL1	Receptor
KIR2DL3	Receptor
KIR2DL4	Receptor
KIR2DS2	Receptor
KIR3DL1	Receptor
KIR3DS1	Receptor
KISS1R	Receptor
KIT	Receptor
KLRB1	Receptor
KLRC1	Receptor
KLRC2	Receptor
KLRD1	Receptor
KLRF1	Receptor
KLRG1	Receptor
KLRK1	Receptor
LDLR	Receptor
LEPR	Receptor
LGR4	Receptor
LGR5	Receptor
LGR6	Receptor
LHCGR	Receptor
LIFR	Receptor
LILRA1	Receptor
LILRA3	Receptor
LILRB1	Receptor
LILRB2	Receptor
LILRB3	Receptor
LILRB4	Receptor
LPAR1	Receptor
LPAR2	Receptor
LPAR3	Receptor
LPAR4	Receptor
LPAR5	Receptor
LPAR6	Receptor
LRP1	Receptor
LRP12	Receptor
LRP6	Receptor
LRP8	Receptor
LTB4R	Receptor
LTB4R2	Receptor
LTK	Receptor
LY75	Receptor
LYVE1	Receptor
M6PR	Receptor
MARCO	Receptor
MAS1	Receptor
MAS1L	Receptor
MC1R	Receptor
MC2R	Receptor
MC3R	Receptor
MC4R	Receptor
MC5R	Receptor
MCHR1	Receptor
MCHR2	Receptor
MERTK	Receptor
MET	Receptor
MLNR	Receptor
