"ligand","receptor","file"
"A2M","CD44","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","CLU","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","COL5A1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","CPB2","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","CRP","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","CRTAP","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","CTSB","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","CTSD","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","CTSG","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","DPP7","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","FBN1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","FGF2","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","FOLR1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","GUSB","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","HSPA13","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","HYOU1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","IGF2R","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","IL10","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","IL1B","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","IL2","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","IL4","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","IL6ST","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","IL8","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","ITGA3","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","ITGA5","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","ITGAV","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","ITGB1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","KLK13","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","KLK2","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","KLK3","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","KLK5","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","KLKB1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","L1CAM","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","LAMA5","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","LAMC1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","LCAT","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","LEP","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","LEPRE1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","LGALS3BP","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","LRP1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","LUM","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","LYZ","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","M6PR","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","MASP1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","MMP1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","MMP10","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","MMP11","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","MMP12","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","MMP13","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","MMP19","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","MMP2","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","MMP20","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","MMP3","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","MMP7","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","MMP8","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","MMP9","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","MYOC","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","NGF","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","PAEP","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","PCYOX1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","PDGFA","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","PDGFB","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","PIGR","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","PLXNB2","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","PPT1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","PRTN3","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","PSAP","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","RETN","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","RPSA","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","S1PR5","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","SCARB1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","SERPINA1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","SHBG","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","SIAE","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","TFRC","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","TGFBI","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","TIMP1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","TNFRSF14","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","TREML2","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","TSPEAR","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","TTR","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","TYRO3","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","VCP","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"A2M","VIP","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCA1","ABCA12","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCA1","ACE2","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCA1","APOA1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCA1","CDH1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCA1","CPA1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCA1","CPA2","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCA1","CPA6","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCA1","DPEP1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCA1","ERBB2IP","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCA1","LCAT","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCA1","NR1H2","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCA1","PLTP","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCA1","SLC1A5","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCA1","SLC7A1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCA1","TPSAB1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCA1","TPSD1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCA12","APOD","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCA12","LCN1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCA12","LCN12","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCA12","LCN15","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCA12","LCN9","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCA12","NR1H2","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCA7","APOA1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCA7","SORT1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCC8","ABCC9","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCC8","ATP1B1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCC8","ATP1B3","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCC8","HTR3A","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCC8","HTR3B","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCC8","HTR3C","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCC8","HTR3D","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCC8","HTR3E","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCC8","KCNJ8","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCC9","ATP1B1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCC9","ATP1B3","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCC9","HTR3A","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCC9","HTR3B","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCC9","HTR3C","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCC9","HTR3D","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCC9","HTR3E","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCC9","KCNJ8","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCC9","PPARA","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCC9","WRB","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCG5","ABCG8","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCG8","ANG","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCG8","HNF4A","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABCG8","NR4A1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABI3BP","FGF10","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABI3BP","FZD5","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ABI3BP","POMC","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","ADAMTS1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","ADAMTS4","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","ADAMTS5","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","AGRN","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","BCAN","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","BGN","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","CD44","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","COL10A1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","COL11A1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","COL11A2","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","COL12A1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","COL15A1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","COL16A1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","COL18A1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","COL19A1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","COL1A1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","COL1A2","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","COL2A1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","COL3A1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","COL4A1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","COL4A2","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","COL4A3","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","COL4A4","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","COL4A5","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","COL4A6","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","COL5A1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","COL5A2","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","COL6A1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","COL6A2","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","COL7A1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","COL8A1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","COL8A2","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","COL9A1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","COL9A2","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","COL9A3","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","COMP","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","CTSB","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","DCN","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","ELN","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","FBLN1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","FBLN2","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","FN1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","GPC1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","GPC4","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","HAPLN1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","HSPG2","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","ITGA1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","ITGA10","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","ITGA11","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","ITGA2","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","ITGA2B","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","ITGA3","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","ITGA4","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","ITGA5","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","ITGA6","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","ITGA7","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","ITGA8","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","ITGA9","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","ITGAD","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","ITGAE","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","ITGAL","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","ITGAM","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","ITGAV","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","ITGAX","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","ITGB1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","ITGB2","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","ITGB3","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","ITGB4","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","ITGB5","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","ITGB6","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","ITGB7","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","ITGB8","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","KERA","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","LAMB3","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","LAMC2","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","LUM","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","MMP1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","MMP12","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","MMP14","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","MMP19","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","MMP2","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","MMP20","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","MMP3","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","MMP7","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","MMP8","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","NCAN","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","SDC4","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","SMC3","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","TIMP3","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","TNC","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","TNFAIP6","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","TNN","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","TNR","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","TNXB","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACAN","VCAN","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACE","AGT","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACE","AGTR2","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACE","BDKRB2","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACE2","ABCA1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACE2","ACE2","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACE2","AGT","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACE2","GHRL","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACE2","NTS","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACE2","SLC7A1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACHE","ACHE","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACHE","APP","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACHE","COL4A1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACHE","COLQ","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACHE","GHRL","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACHE","LAMA1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACHE","LAMB1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACHE","PON1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR1","CCL17","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR1","CCL2","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR1","CCL5","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR1","CCL7","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR1","CCL8","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR1","CXCL1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR1","CXCL5","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR1","CXCL8","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR2","APP","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR2","CCL11","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR2","CCL13","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR2","CCL14","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR2","CCL17","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR2","CCL19","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR2","CCL2","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR2","CCL21","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR2","CCL22","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR2","CCL25","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR2","CCL27","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR2","CCL28","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR2","CCL3","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR2","CCL3L1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR2","CCL3L3","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR2","CCL4","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR2","CCL5","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR2","CCL7","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR2","CCL8","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR3","CXCL12","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR4","CCL11","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR4","CCL13","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR4","CCL19","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR4","CCL2","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR4","CCL21","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR4","CCL23","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR4","CCL25","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR4","CCL5","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR4","CCL7","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR4","CCL8","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACKR4","CXCL13","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACR","ESR1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACR","SERPINA5","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACR","ZP2","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACR","ZP3","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACVR1","ACVR1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACVR1","ACVR1B","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACVR1","ACVR2A","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACVR1","ACVR2B","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACVR1","ACVRL1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACVR1","AMH","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACVR1","AMHR2","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACVR1","BAMBI","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACVR1","BMP1","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACVR1","BMP10","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACVR1","BMP15","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACVR1","BMP2","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACVR1","BMP3","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACVR1","BMP4","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
"ACVR1","BMP5","receptor_ligand_interactions_mitab_v1.0_April2017.xlsx"
