ligand	receptor	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	dip_url	ligand_original	receptor_original	ligand_category	receptor_category
TNFRSF1B	TNF	1	1	0	0	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=3926	P20333	P01375	ligand	receptor
INS	INSR	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=189210	P01308	P06213	ligand	receptor
TNFSF9	TNFRSF9	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=4251	P41273	Q07011	ligand	receptor
TP53	FAS	1	1	0	1	1	0	NA	P04637	P25445	ligand	receptor
CD70	CD27	1	1	0	1	1	0	NA	P32970	P26842	ligand	receptor
FASLG	FAS	1	1	0	1	1	0	NA	P48023	P25445	ligand	receptor
TNFSF10	TNFRSF10D	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=11066	P50591	Q9UBN6	ligand	receptor
TNFSF10	TNFRSF10B	1	1	0	1	1	0	NA	P50591	O14763	ligand	receptor
TNFSF10	TNFRSF10A	1	1	0	1	1	0	NA	P50591	O00220	ligand	receptor
TNFRSF1A	RIPK1	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=308	P19438	Q13546	ligand	receptor
TNF	TNFRSF1A	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=3912	P01375	P19438	ligand	receptor
TNFRSF1A	TNF	1	0	1	0	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=3912	P19438	P01375	ligand	receptor
SHH	PTCH1	1	1	1	1	0	1	NA	Q15465	Q13635	ligand	receptor
GNRH1	GNRHR	1	1	0	1	1	0	NA	P01148	P30968	ligand	receptor
WNT5A	ROR2	1	1	0	1	1	0	NA	P41221	Q01974	ligand	receptor
CXCL11	CXCR3	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10490	O14625	P49682	ligand	receptor
CD80	CD28	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10940	P33681	P10747	ligand	receptor
TGFB1	APP	1	1	0	1	1	0	NA	P01137	P05067	ligand	receptor
IL1B	IL1R2	1	1	1	1	0	1	NA	P01584	P27930	ligand	receptor
TGFB1	TGFBR2	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10662	P01137	P37173	ligand	receptor
TGFB1	TGFBR3	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10670	P01137	Q03167	ligand	receptor
TGFBR3	TGFB1	1	1	0	0	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10670	Q03167	P01137	ligand	receptor
TGFB1	TGFBR1	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10655	P01137	P36897	ligand	receptor
IL1B	IL1R1	1	1	0	1	1	0	NA	P01584	P14778	ligand	receptor
LIF	LIFR	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=9955	P15018	P42702	ligand	receptor
IL2	IL2RG	1	1	1	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=760	P60568	P31785	ligand	receptor
IL13	IL13RA1	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=4497	P35225	P78552	ligand	receptor
IL13	IL13RA2	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=4684	P35225	Q14627	ligand	receptor
TGFB3	TGFBR2	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10668	P10600	P37173	ligand	receptor
BMP2	BMPR2	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10073	P12643	Q13873	ligand	receptor
GDF5	BMPR2	1	1	0	1	1	0	NA	P43026	Q13873	ligand	receptor
NDP	FZD4	1	1	0	1	1	0	NA	Q00604	Q9ULV1	ligand	receptor
PRL	PRLR	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=188880	P01236	P16471	ligand	receptor
GH1	PRLR	1	1	0	1	1	0	NA	P01241	P16471	ligand	receptor
GH1	GHR	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10950	P01241	P10912	ligand	receptor
IFNG	IFNGR2	1	1	0	1	1	0	NA	P01579	P38484	ligand	receptor
TSLP	CRLF2	1	1	0	1	1	0	NA	Q969D9	Q9HC73	ligand	receptor
IL3	IL3RA	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=4594	P08700	P26951	ligand	receptor
INS	IGF1R	1	1	0	1	1	0	NA	P01308	P08069	ligand	receptor
IL12A	IL12RB1	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10906	P29459	P42701	ligand	receptor
IFNA1	IFNAR1	1	1	0	1	1	0	NA	P01562	P17181	ligand	receptor
IFNB1	IFNAR1	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10914	P01574	P17181	ligand	receptor
IFNA1	IFNAR2	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10916	P01562	P48551	ligand	receptor
IFNB1	IFNAR2	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10919	P01574	P48551	ligand	receptor
IL15	IL15RA	1	1	0	1	1	0	NA	P40933	Q13261	ligand	receptor
NRG3	ERBB4	1	1	0	1	1	0	NA	P56975	Q15303	ligand	receptor
NRG1	ERBB4	1	1	0	1	1	0	NA	Q02297	Q15303	ligand	receptor
SHH	PTCH2	1	1	1	1	1	0	NA	Q15465	Q9Y6C5	ligand	receptor
IHH	PTCH2	1	1	1	1	1	0	NA	Q14623	Q9Y6C5	ligand	receptor
SHH	HHIP	1	1	0	1	1	0	NA	Q15465	Q96QV1	ligand	receptor
HHIP	SHH	1	1	1	0	0	0	NA	Q96QV1	Q15465	ligand	receptor
WNT8A	FZD7	1	1	0	1	1	0	NA	Q9H1J5	O75084	ligand	receptor
AREG	EGFR	1	1	0	1	1	0	NA	P15514	P00533	ligand	receptor
HBEGF	EGFR	1	1	0	1	1	0	NA	Q99075	P00533	ligand	receptor
NRG4	ERBB4	1	1	0	1	1	0	NA	Q8WWG1	Q15303	ligand	receptor
DLL4	NOTCH4	1	1	0	1	1	0	NA	Q9NR61	Q99466	ligand	receptor
JAG1	NOTCH2	1	1	1	1	1	0	NA	P78504	Q04721	ligand	receptor
JAG2	NOTCH2	1	1	1	1	1	0	NA	Q9Y219	Q04721	ligand	receptor
JAG2	NOTCH3	1	1	1	1	1	0	NA	Q9Y219	Q9UM47	ligand	receptor
DLL3	NOTCH1	1	1	0	1	1	0	NA	Q9NYJ7	P46531	ligand	receptor
IL7R	CRLF2	1	1	0	1	1	0	NA	P16871	Q9HC73	ligand	receptor
WNT5A	FZD4	1	1	0	1	1	0	NA	P41221	Q9ULV1	ligand	receptor
WNT1	LRP6	1	1	0	1	1	0	NA	P04628	O75581	ligand	receptor
IL23A	IL12RB1	1	1	0	1	1	0	NA	Q9NPF7	P42701	ligand	receptor
IL6	IL6R	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=5744;http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=726	P05231	P08887	ligand	receptor
IL6R	IL6ST	1	1	0	1	1	0	NA	P08887	P40189	ligand	receptor
SHH	GAS1	1	0	0	0	0	0	NA	Q15465	P54826	ligand	receptor
DLL4	NOTCH1	1	1	0	1	1	0	NA	Q9NR61	P46531	ligand	receptor
SHH	LRP2	1	0	0	0	0	0	NA	Q15465	P98164	ligand	receptor
IL23A	IL23R	1	1	0	1	1	0	NA	Q9NPF7	Q5VWK5	ligand	receptor
LRIG1	EGFR	1	0	1	0	0	0	NA	Q96JA1	P00533	ligand	receptor
LRIG1	ERBB3	1	1	1	1	1	0	NA	Q96JA1	P21860	ligand	receptor
LRIG1	ERBB2	1	1	1	1	1	0	NA	Q96JA1	P04626	ligand	receptor
LRIG1	ERBB4	1	1	1	1	1	0	NA	Q96JA1	Q15303	ligand	receptor
LIFR	IL6ST	1	1	0	1	1	0	NA	P42702	P40189	ligand	receptor
IL31	OSMR	1	1	0	1	1	0	NA	Q6EBC2	Q99650	ligand	receptor
OSM	OSMR	1	1	0	1	1	0	NA	P13725	Q99650	ligand	receptor
IL21	IL21R	1	1	0	1	1	0	NA	Q9HBE4	Q9HBE5	ligand	receptor
AMH	AMHR2	1	1	0	1	1	0	NA	P03971	Q16671	ligand	receptor
TGFB2	TGFBR2	1	1	0	1	1	0	NA	P61812	P37173	ligand	receptor
INHBA	ACVR2B	1	1	0	1	1	0	NA	P08476	Q13705	ligand	receptor
BMP7	ACVR2B	1	1	0	1	1	0	NA	P18075	Q13705	ligand	receptor
BMP6	ACVR2B	1	1	0	1	1	0	NA	P22004	Q13705	ligand	receptor
BMP2	ACVR2B	1	1	0	1	1	0	NA	P12643	Q13705	ligand	receptor
BMP7	BMPR2	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10083	P18075	Q13873	ligand	receptor
BMP6	BMPR2	1	1	0	1	1	0	NA	P22004	Q13873	ligand	receptor
GDF6	BMPR2	1	1	0	1	1	0	NA	Q6KF10	Q13873	ligand	receptor
BMP4	BMPR2	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10084	P12644	Q13873	ligand	receptor
SHH	BOC	1	1	0	1	1	0	NA	Q15465	Q9BWV1	ligand	receptor
IL20	IL22RA1	1	1	0	1	1	0	NA	Q9NYY1	Q8N6P7	ligand	receptor
IL24	IL22RA1	1	1	0	1	1	0	NA	Q13007	Q8N6P7	ligand	receptor
IL26	IL20RA	1	1	0	1	1	0	NA	Q9NPH9	Q9UHF4	ligand	receptor
IL22	IL20RA	1	1	0	1	1	0	NA	Q9GZX6	Q9UHF4	ligand	receptor
IL19	IL20RA	1	1	0	1	1	0	NA	Q9UHD0	Q9UHF4	ligand	receptor
IL20	IL20RA	1	1	0	1	1	0	NA	Q9NYY1	Q9UHF4	ligand	receptor
IL24	IL20RA	1	1	0	1	1	0	NA	Q13007	Q9UHF4	ligand	receptor
IL27	IL27RA	1	1	0	1	1	0	NA	Q8NEV9	Q6UWB1	ligand	receptor
CTF1	IL6ST	1	1	0	1	1	0	NA	Q16619	P40189	ligand	receptor
IHH	PTCH1	1	1	1	1	1	0	NA	Q14623	Q13635	ligand	receptor
PDGFC	PDGFRA	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=187644	Q9NRA1	P16234	ligand	receptor
PDGFC	PDGFRB	1	1	0	1	1	0	NA	Q9NRA1	P09619	ligand	receptor
PDGFA	PDGFRA	1	1	0	1	1	0	NA	P04085	P16234	ligand	receptor
PDGFB	PDGFRA	1	1	0	1	1	0	NA	P01127	P16234	ligand	receptor
FGF1	FGFR1	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=8295	P05230	P11362	ligand	receptor
FGF1	FGFR2	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=5753	P05230	P21802	ligand	receptor
FGF2	FGFR2	1	1	0	1	1	0	NA	P09038	P21802	ligand	receptor
FGF3	FGFR2	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=6037	P11487	P21802	ligand	receptor
FGF4	FGFR2	1	1	0	1	1	0	NA	P08620	P21802	ligand	receptor
FGF7	FGFR2	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=6038	P21781	P21802	ligand	receptor
FGF8	FGFR2	1	1	0	1	1	0	NA	P55075	P21802	ligand	receptor
FGF9	FGF10	1	1	0	1	1	0	NA	P31371	O15520	ligand	receptor
FGF10	FGFR2	1	1	0	1	1	0	NA	O15520	P21802	ligand	receptor
VEGFB	FLT1	1	1	0	1	1	0	NA	P49765	P17948	ligand	receptor
EFNA1	EPHA1	1	1	0	1	1	0	NA	P20827	P21709	ligand	receptor
EFNA2	EPHA2	1	1	0	1	1	0	NA	O43921	P29317	ligand	receptor
EFNA5	EPHA5	1	1	0	1	1	0	NA	P52803	P54756	ligand	receptor
EFNB3	EPHB3	1	1	0	1	1	0	NA	Q15768	P54753	ligand	receptor
EFNA1	EPHA6	1	1	0	1	1	0	NA	P20827	Q9UF33	ligand	receptor
EFNA2	EPHA6	1	1	0	1	1	0	NA	O43921	Q9UF33	ligand	receptor
EFNA3	EPHA6	1	1	0	1	1	0	NA	P52797	Q9UF33	ligand	receptor
EFNA4	EPHA6	1	1	0	1	1	0	NA	P52798	Q9UF33	ligand	receptor
EFNA5	EPHA6	1	1	0	1	1	0	NA	P52803	Q9UF33	ligand	receptor
EFNA5	EPHA7	1	1	0	1	1	0	NA	P52803	Q15375	ligand	receptor
EFNA1	EPHA8	1	1	0	1	1	0	NA	P20827	P29322	ligand	receptor
EFNA1	EPHA4	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=102508	P20827	P54764	ligand	receptor
EFNA5	EPHA4	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=102510	P52803	P54764	ligand	receptor
EFNA1	EPHA2	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=300	P20827	P29317	ligand	receptor
EFNA1	EPHA3	1	1	0	1	1	0	NA	P20827	P29320	ligand	receptor
EFNA5	EPHA3	1	1	0	1	1	0	NA	P52803	P29320	ligand	receptor
EFNA1	EPHA5	1	1	0	1	1	0	NA	P20827	P54756	ligand	receptor
EFNB2	EPHB4	1	1	0	1	1	0	NA	P52799	P54760	ligand	receptor
ANGPT2	TEK	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10944	O15123	Q02763	ligand	receptor
ANGPT1	TEK	1	1	0	1	1	0	NA	Q15389	Q02763	ligand	receptor
ANGPT4	TEK	1	1	0	1	1	0	NA	Q9Y264	Q02763	ligand	receptor
WNT3A	RYK	1	1	0	1	1	0	NA	P56704	P34925	ligand	receptor
GAS6	AXL	1	1	0	1	1	0	NA	Q14393	P30530	ligand	receptor
GAS6	MERTK	1	1	0	1	1	0	NA	Q14393	Q12866	ligand	receptor
GDNF	RET	1	1	0	1	1	0	NA	P39905	P07949	ligand	receptor
IGF1	ESR1	1	0	0	0	0	0	NA	P05019	P03372	ligand	receptor
IL26	IL10RB	1	1	0	1	1	0	NA	Q9NPH9	Q08334	ligand	receptor
IL5	IL5RA	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=4996	P05113	Q01344	ligand	receptor
NDP	LRP5	1	1	0	1	1	0	NA	Q00604	O75197	ligand	receptor
FRZB	WNT5A	1	0	1	1	0	1	NA	Q92765	P41221	ligand	receptor
DLL1	NOTCH2	1	1	0	1	1	0	NA	O00548	Q04721	ligand	receptor
THPO	MPL	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=9850	P40225	P40238	ligand	receptor
AREG	ERBB2	1	1	0	1	1	0	NA	P15514	P04626	ligand	receptor
IL7	IL7R	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=4302	P13232	P16871	ligand	receptor
IL4R	IL2RG	1	1	0	1	1	0	NA	P24394	P31785	ligand	receptor
IL4R	IL13RA1	1	1	0	0	0	0	NA	P24394	P78552	ligand	receptor
NRG2	ERBB3	1	1	0	1	1	0	NA	O14511	P21860	ligand	receptor
NRG2	ERBB4	1	1	0	1	1	0	NA	O14511	Q15303	ligand	receptor
LEP	LEPR	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10989	P41159	P48357	ligand	receptor
NRG1	ERBB3	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=58936	Q02297	P21860	ligand	receptor
NRG3	EGFR	1	1	0	1	1	0	NA	P56975	P00533	ligand	receptor
DHH	PTCH2	1	1	0	1	1	0	NA	O43323	Q9Y6C5	ligand	receptor
DHH	HHIP	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=103108	O43323	Q96QV1	ligand	receptor
IHH	HHIP	1	1	0	1	1	0	NA	Q14623	Q96QV1	ligand	receptor
WNT8A	FZD8	1	1	0	1	1	0	NA	Q9H1J5	Q9H461	ligand	receptor
BTC	EGFR	1	1	0	1	1	0	NA	P35070	P00533	ligand	receptor
BTC	ERBB4	1	1	0	1	1	0	NA	P35070	Q15303	ligand	receptor
HBEGF	ERBB4	1	1	0	1	1	0	NA	Q99075	Q15303	ligand	receptor
BMP8B	BMPR1A	1	1	0	1	1	0	NA	P34820	P36894	ligand	receptor
BMP8B	ACVR1	1	1	0	1	1	0	NA	P34820	Q04771	ligand	receptor
CSF1	CSF2RA	1	1	0	1	1	0	NA	P09603	P15509	ligand	receptor
CSF3	CSF2RA	1	1	0	1	1	0	NA	P09919	P15509	ligand	receptor
IL9	IL9R	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=4421	P15248	Q01113	ligand	receptor
WNT10B	FZD5	1	1	0	1	1	0	NA	O00744	Q13467	ligand	receptor
EGF	ERBB2	1	1	0	1	1	0	NA	P01133	P04626	ligand	receptor
PTPN11	IGF1R	1	1	0	1	1	0	NA	Q06124	P08069	ligand	receptor
PTPN11	SIRPA	1	0	1	1	0	1	NA	Q06124	P78324	ligand	receptor
DLL3	NOTCH2	1	1	0	1	1	0	NA	Q9NYJ7	Q04721	ligand	receptor
DKK1	KREMEN2	1	1	0	1	1	0	NA	O94907	Q8NCW0	ligand	receptor
DKK1	KREMEN1	1	1	0	1	1	0	NA	O94907	Q96MU8	ligand	receptor
WNT2	FZD9	1	1	0	1	1	0	NA	P09544	O00144	ligand	receptor
IL1RAP	IL1R1	1	1	1	1	1	0	NA	Q9NPH3	P14778	ligand	receptor
IL11	IL11RA	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=5742	P20809	Q14626	ligand	receptor
WNT7A	FZD5	1	1	0	1	1	0	NA	O00755	Q13467	ligand	receptor
WNT4	FZD3	1	1	0	1	1	0	NA	P56705	Q9NPG1	ligand	receptor
IL31	IL31RA	1	1	0	1	1	0	NA	Q6EBC2	Q8NI17	ligand	receptor
BMP6	AMHR2	1	1	0	1	1	0	NA	P22004	Q16671	ligand	receptor
ACTR2	ACVR1B	1	1	0	1	1	0	NA	P61160	P36896	ligand	receptor
GDF11	ACVR2B	1	1	0	1	1	0	NA	O95390	Q13705	ligand	receptor
NODAL	ACVR2B	1	1	0	1	1	0	NA	Q96S42	Q13705	ligand	receptor
GDF5	ACVR2B	1	1	0	1	1	0	NA	P43026	Q13705	ligand	receptor
BMP15	BMPR2	1	1	0	1	1	0	NA	O95972	Q13873	ligand	receptor
CSF1	CSF3R	1	1	0	1	1	0	NA	P09603	Q99062	ligand	receptor
CSF2	CSF3R	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10068	P04141	Q99062	ligand	receptor
IFNK	IFNAR1	1	1	0	1	1	0	NA	Q9P0W0	P17181	ligand	receptor
IL36G	IFNAR1	1	1	0	1	1	0	NA	Q9NZH8	P17181	ligand	receptor
IFNL1	IL10RB	1	1	0	1	1	0	NA	Q8IU54	Q08334	ligand	receptor
IFNL2	IL10RB	1	1	0	1	1	0	NA	Q8IZJ0	Q08334	ligand	receptor
