"id_cp_interaction","partner_a","partner_b","protein_name_a","protein_name_b","annotation_strategy","source","is_ppi","curator","reactome_complex","reactome_reaction","reactome_pathway","complexPortal_complex","comments","version","interactors","classification","directionality","modulatory_effect","ligand","receptor"
NA,"CEACAM1","CEACAM6","CEAM1_HUMAN","CEAM6_HUMAN","curated","PMID:21982860","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","CEACAM1-CEACAM6","Adhesion by CEAM","Adhesion-Adhesion","","CEACAM1","CEACAM6"
NA,"CEACAM1","CEACAM8","CEAM1_HUMAN","CEAM8_HUMAN","curated","PMID:24743304","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","CEACAM1-CEACAM8","Adhesion by CEAM","Adhesion-Adhesion","","CEACAM1","CEACAM8"
NA,"CEACAM1","SELE","CEAM1_HUMAN","LYAM2_HUMAN","curated","PMID:1378450","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","CEACAM1-SELE","Adhesion by CEAM","Adhesion-Adhesion","","CEACAM1","SELE"
NA,"CEACAM5","CD1D","CEAM5_HUMAN","CD1D_HUMAN","curated","PMID:24104458","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","CEACAM5-CD1D","Adhesion by CEAM","Adhesion-Adhesion","","CEACAM5","CD1D"
NA,"CEACAM5","CD8A","CEAM5_HUMAN","CD8A_HUMAN","curated","PMID:24104458","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","CEACAM5-CD8A","Adhesion by CEAM","Adhesion-Adhesion","","CEACAM5","CD8A"
NA,"CEACAM5","CEACAM1","CEAM5_HUMAN","CEAM1_HUMAN","curated","Induces_NK_Cell_Inhibition._Reviewed_in_PMID:24987108","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","CEACAM5-CEACAM1","Adhesion by CEAM","Adhesion-Adhesion","","CEACAM5","CEACAM1"
NA,"CEACAM5","CEACAM6","CEAM5_HUMAN","CEAM6_HUMAN","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","CEACAM5-CEACAM6","Adhesion by CEAM","Adhesion-Adhesion","","CEACAM5","CEACAM6"
NA,"CEACAM6","CEACAM6","CEAM6_HUMAN","CEAM6_HUMAN","curated","PMID:11590190","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","CEACAM6-CEACAM6","Adhesion by CEAM","Adhesion-Adhesion","","CEACAM6","CEACAM6"
NA,"CEACAM8","CEACAM6","CEAM8_HUMAN","CEAM6_HUMAN","curated","PMID:11590190","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","CEACAM8-CEACAM6","Adhesion by CEAM","Adhesion-Adhesion","","CEACAM8","CEACAM6"
NA,"COL10A1","integrin_a1b1_complex","COAA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL10A1-ITGA1+ITGB1","Adhesion by Collagen/Integrin","Ligand-Receptor","","COL10A1","integrin_a1b1_complex"
NA,"COL10A1","integrin_a10b1_complex","COAA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL10A1-ITGA10+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL10A1","integrin_a10b1_complex"
NA,"COL10A1","integrin_a11b1_complex","COAA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL10A1-ITGA11+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL10A1","integrin_a11b1_complex"
NA,"COL10A1","integrin_a2b1_complex","COAA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL10A1-ITGA2+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL10A1","integrin_a2b1_complex"
NA,"COL11A1","integrin_a1b1_complex","COBA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL11A1-ITGA1+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL11A1","integrin_a1b1_complex"
NA,"COL11A1","integrin_a10b1_complex","COBA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL11A1-ITGA10+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL11A1","integrin_a10b1_complex"
NA,"COL11A1","integrin_a11b1_complex","COBA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL11A1-ITGA11+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL11A1","integrin_a11b1_complex"
NA,"COL11A1","integrin_a2b1_complex","COBA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL11A1-ITGA2+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL11A1","integrin_a2b1_complex"
NA,"COL11A2","integrin_a1b1_complex","COBA2_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL11A2-ITGA1+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL11A2","integrin_a1b1_complex"
NA,"COL11A2","integrin_a10b1_complex","COBA2_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL11A2-ITGA10+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL11A2","integrin_a10b1_complex"
NA,"COL11A2","integrin_a11b1_complex","COBA2_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL11A2-ITGA11+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL11A2","integrin_a11b1_complex"
NA,"COL11A2","integrin_a2b1_complex","COBA2_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL11A2-ITGA2+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL11A2","integrin_a2b1_complex"
NA,"COL12A1","integrin_a1b1_complex","COCA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL12A1-ITGA1+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL12A1","integrin_a1b1_complex"
NA,"COL12A1","integrin_a10b1_complex","COCA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL12A1-ITGA10+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL12A1","integrin_a10b1_complex"
NA,"COL12A1","integrin_a11b1_complex","COCA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL12A1-ITGA11+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL12A1","integrin_a11b1_complex"
NA,"COL12A1","integrin_a2b1_complex","COCA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL12A1-ITGA2+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL12A1","integrin_a2b1_complex"
NA,"COL13A1","integrin_a1b1_complex","CODA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL13A1-ITGA1+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL13A1","integrin_a1b1_complex"
NA,"COL13A1","integrin_a10b1_complex","CODA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL13A1-ITGA10+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL13A1","integrin_a10b1_complex"
NA,"COL13A1","integrin_a11b1_complex","CODA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL13A1-ITGA11+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL13A1","integrin_a11b1_complex"
NA,"COL13A1","integrin_a2b1_complex","CODA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL13A1-ITGA2+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL13A1","integrin_a2b1_complex"
NA,"COL14A1","integrin_a1b1_complex","COEA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL14A1-ITGA1+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL14A1","integrin_a1b1_complex"
NA,"COL14A1","integrin_a10b1_complex","COEA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL14A1-ITGA10+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL14A1","integrin_a10b1_complex"
NA,"COL14A1","integrin_a11b1_complex","COEA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL14A1-ITGA11+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL14A1","integrin_a11b1_complex"
NA,"COL14A1","integrin_a2b1_complex","COEA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL14A1-ITGA2+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL14A1","integrin_a2b1_complex"
NA,"COL15A1","integrin_a1b1_complex","COFA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL15A1-ITGA1+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL15A1","integrin_a1b1_complex"
NA,"COL15A1","integrin_a10b1_complex","COFA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL15A1-ITGA10+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL15A1","integrin_a10b1_complex"
NA,"COL15A1","integrin_a11b1_complex","COFA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL15A1-ITGA11+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL15A1","integrin_a11b1_complex"
NA,"COL15A1","integrin_a2b1_complex","COFA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL15A1-ITGA2+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL15A1","integrin_a2b1_complex"
NA,"COL16A1","integrin_a1b1_complex","COGA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL16A1-ITGA1+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL16A1","integrin_a1b1_complex"
NA,"COL16A1","integrin_a10b1_complex","COGA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL16A1-ITGA10+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL16A1","integrin_a10b1_complex"
NA,"COL16A1","integrin_a11b1_complex","COGA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL16A1-ITGA11+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL16A1","integrin_a11b1_complex"
NA,"COL16A1","integrin_a2b1_complex","COGA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL16A1-ITGA2+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL16A1","integrin_a2b1_complex"
NA,"COL17A1","integrin_a1b1_complex","COHA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL17A1-ITGA1+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL17A1","integrin_a1b1_complex"
NA,"COL17A1","integrin_a10b1_complex","COHA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL17A1-ITGA10+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL17A1","integrin_a10b1_complex"
NA,"COL17A1","integrin_a11b1_complex","COHA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL17A1-ITGA11+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL17A1","integrin_a11b1_complex"
NA,"COL17A1","integrin_a2b1_complex","COHA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL17A1-ITGA2+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL17A1","integrin_a2b1_complex"
NA,"COL18A1","integrin_a1b1_complex","COIA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL18A1-ITGA1+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL18A1","integrin_a1b1_complex"
NA,"COL18A1","integrin_a10b1_complex","COIA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL18A1-ITGA10+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL18A1","integrin_a10b1_complex"
NA,"COL18A1","integrin_a11b1_complex","COIA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL18A1-ITGA11+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL18A1","integrin_a11b1_complex"
NA,"COL18A1","integrin_a2b1_complex","COIA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL18A1-ITGA2+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL18A1","integrin_a2b1_complex"
NA,"COL19A1","integrin_a1b1_complex","COJA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL19A1-ITGA1+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL19A1","integrin_a1b1_complex"
NA,"COL19A1","integrin_a10b1_complex","COJA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL19A1-ITGA10+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL19A1","integrin_a10b1_complex"
NA,"COL19A1","integrin_a11b1_complex","COJA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL19A1-ITGA11+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL19A1","integrin_a11b1_complex"
NA,"COL19A1","integrin_a2b1_complex","COJA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL19A1-ITGA2+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL19A1","integrin_a2b1_complex"
NA,"COL1A1","integrin_a1b1_complex","CO1A1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL1A1-ITGA1+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL1A1","integrin_a1b1_complex"
NA,"COL1A1","integrin_a10b1_complex","CO1A1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL1A1-ITGA10+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL1A1","integrin_a10b1_complex"
NA,"COL1A1","integrin_a11b1_complex","CO1A1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL1A1-ITGA11+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL1A1","integrin_a11b1_complex"
NA,"COL1A1","integrin_a2b1_complex","CO1A1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL1A1-ITGA2+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL1A1","integrin_a2b1_complex"
NA,"COL1A2","integrin_a1b1_complex","CO1A2_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL1A2-ITGA1+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL1A2","integrin_a1b1_complex"
NA,"COL1A2","integrin_a10b1_complex","CO1A2_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL1A2-ITGA10+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL1A2","integrin_a10b1_complex"
NA,"COL1A2","integrin_a11b1_complex","CO1A2_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL1A2-ITGA11+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL1A2","integrin_a11b1_complex"
NA,"COL1A2","integrin_a2b1_complex","CO1A2_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL1A2-ITGA2+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL1A2","integrin_a2b1_complex"
NA,"COL20A1","integrin_a1b1_complex","COKA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL20A1-ITGA1+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL20A1","integrin_a1b1_complex"
NA,"COL20A1","integrin_a10b1_complex","COKA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL20A1-ITGA10+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL20A1","integrin_a10b1_complex"
NA,"COL20A1","integrin_a11b1_complex","COKA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL20A1-ITGA11+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL20A1","integrin_a11b1_complex"
NA,"COL20A1","integrin_a2b1_complex","COKA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL20A1-ITGA2+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL20A1","integrin_a2b1_complex"
NA,"COL21A1","integrin_a1b1_complex","COLA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL21A1-ITGA1+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL21A1","integrin_a1b1_complex"
NA,"COL21A1","integrin_a10b1_complex","COLA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL21A1-ITGA10+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL21A1","integrin_a10b1_complex"
NA,"COL21A1","integrin_a11b1_complex","COLA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL21A1-ITGA11+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL21A1","integrin_a11b1_complex"
NA,"COL21A1","integrin_a2b1_complex","COLA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL21A1-ITGA2+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL21A1","integrin_a2b1_complex"
NA,"COL22A1","integrin_a1b1_complex","COMA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL22A1-ITGA1+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL22A1","integrin_a1b1_complex"
NA,"COL22A1","integrin_a10b1_complex","COMA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL22A1-ITGA10+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL22A1","integrin_a10b1_complex"
NA,"COL22A1","integrin_a11b1_complex","COMA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL22A1-ITGA11+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL22A1","integrin_a11b1_complex"
NA,"COL22A1","integrin_a2b1_complex","COMA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL22A1-ITGA2+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL22A1","integrin_a2b1_complex"
NA,"COL24A1","integrin_a1b1_complex","COOA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL24A1-ITGA1+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL24A1","integrin_a1b1_complex"
NA,"COL24A1","integrin_a10b1_complex","COOA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL24A1-ITGA10+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL24A1","integrin_a10b1_complex"
NA,"COL24A1","integrin_a11b1_complex","COOA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL24A1-ITGA11+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL24A1","integrin_a11b1_complex"
NA,"COL24A1","integrin_a2b1_complex","COOA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL24A1-ITGA2+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL24A1","integrin_a2b1_complex"
NA,"COL26A1","integrin_a1b1_complex","COQA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL26A1-ITGA1+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL26A1","integrin_a1b1_complex"
NA,"COL26A1","integrin_a10b1_complex","COQA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL26A1-ITGA10+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL26A1","integrin_a10b1_complex"
NA,"COL26A1","integrin_a11b1_complex","COQA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL26A1-ITGA11+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL26A1","integrin_a11b1_complex"
NA,"COL26A1","integrin_a2b1_complex","COQA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL26A1-ITGA2+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL26A1","integrin_a2b1_complex"
NA,"COL27A1","integrin_a1b1_complex","CORA1_HUMAN","","curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1","COL27A1-ITGA1+ITGB1","Adhesion by Collagen/Integrin","Adhesion-Adhesion","","COL27A1","integrin_a1b1_complex"
