"","Q1_TCH","Q2_ZWB","Q3_WJH","Q5_JYJ","Q9_CT","Q11_CCH","Q14_SZF","Q16_CJQ","Q17_CGS","Q20_BXX","Q32_LJM","Q33_JYH"
"A0A087WSY4",16.4470836778539,15.9528583325432,16.6480845618762,14.992855340817,17.6147540895572,16.7278421641256,NA,15.6590905560893,15.5148167983295,16.2023627181327,17.5280663052769,17.6339551131304
"A0A0A0MS14",18.3589158351837,NA,NA,16.9386569847962,NA,NA,NA,NA,15.5905269429098,NA,NA,NA
"A0A0A0MS15",NA,NA,NA,16.014843880609,17.3308016552537,16.753339005221,NA,15.4230533276468,NA,15.9030789024743,NA,16.1551216712843
"A0A0A0MT36",20.3813105685186,19.5769565363367,18.8175966008604,20.596792587084,19.6186881234362,20.5850938092839,19.0987094205955,18.5220636693481,17.2312482922086,18.9693461050395,19.925768564298,19.9534343252375
"A0A0B4J1V0",NA,16.7637818963,NA,14.8584717019084,NA,NA,15.9169804009717,NA,NA,NA,NA,NA
"A0A0B4J1V1",18.0101741191812,17.8585101512631,16.8290711173634,15.9146780312391,17.6585940885413,17.5851672268645,17.2143427776149,17.0427743881903,17.1374893013748,15.691989559646,18.0100693821634,16.7550693672129
"A0A0B4J1V2",19.111350193292,19.7013503770397,16.6286984675015,16.3462160327219,17.9427812210125,16.1047810995255,18.3266935224883,18.0228997387275,16.1947691822917,17.2871145416803,16.3149369830384,19.1060252522686
"A0A0B4J1V6",NA,NA,17.5907214476402,16.8378788610922,17.4913707589373,NA,NA,NA,NA,NA,NA,NA
"A0A0B4J1X5",NA,16.2043624975781,16.793104653324,14.4563914076988,15.4590505317584,NA,15.0937921993343,16.0093031629239,NA,NA,13.8040888226968,NA
"A0A0B4J1Y8",21.3187235828408,23.044829609853,21.6409329838379,19.7312326926351,20.2893154368114,21.3227375672685,21.2996842696231,NA,19.5911983785595,17.9502966490472,21.1854347598826,21.1356951314509
"A0A0B4J1Y9",NA,15.4639446231645,14.3711764188179,16.2316638863002,17.1355750829728,NA,15.0964150143593,16.8087144685573,NA,16.3588568323762,15.8603394492656,NA
"A0A0C4DH24",18.2455444432491,18.4715114547802,15.8191274224619,15.9520873315018,19.0631864665336,NA,15.7660820076109,NA,16.5400867352149,17.5435046396414,17.6994625572688,17.9551685191748
"A0A0C4DH25",15.6711411021053,14.9663304790365,15.6555420743238,15.359024280139,15.3113787346556,15.8304674690798,14.5449829678172,14.9962024602392,15.5823923869795,14.2219464275355,16.68516316618,15.4949964328306
"A0A0C4DH31",18.1465043585128,14.7687284159862,NA,16.5727063271153,16.7592606152486,17.3657682272123,NA,15.0682966867957,16.0270572619853,NA,17.5695260489111,NA
"A0A0C4DH34",17.7554238216362,18.3654203805509,16.258434883804,18.3409499404584,17.8800184681005,14.9473164981543,17.2456014405242,17.5894376099991,17.6349778447559,15.0311536899709,14.0350021864223,18.3224641827718
"A0A0C4DH38",20.5736615899941,20.1156268112467,NA,15.8184662350878,18.5349550624423,18.5883290696661,18.1827416881486,18.6745713593932,16.9844236016211,17.7657688839883,19.1566755649141,NA
"A0A0C4DH67",15.6825779887381,17.6019882735924,NA,14.7904426407743,16.0338139912156,NA,NA,NA,NA,NA,16.2876406253868,16.8105228899428
"A0A0C4DH68",22.2741774624536,21.8312158402994,20.5640783462,20.0676463906897,21.1183955316018,20.2320755732645,21.0965579751676,20.5211896649897,20.1298234038555,21.4957140924966,22.3817654803979,21.0166950857223
"A0A0C4DH72",21.1559207148599,NA,16.9553675927829,17.1784790630674,18.7206974276715,NA,15.7613709664235,14.6947874392722,16.0765001252622,17.0558310218207,19.4583986747626,19.9296315046677
"A0A0J9YX35",16.1535528887682,18.3170525842114,18.2436445977134,18.2609833319687,17.6094534507132,19.2015903724722,17.5597794820189,18.4842081461286,17.3993308321796,16.0107252757331,19.2238369644232,17.2163986983332
"A1L4H1",15.0894454640069,16.6984639109241,NA,14.2225049620539,NA,14.1418748299067,14.0172789868413,14.5578450667891,13.8059980366312,13.9932964504001,12.5394133659058,15.3652775949521
"A2NJV5",NA,NA,NA,14.3331463835896,NA,17.0200716485859,14.8308377139103,NA,16.6157445036944,15.2055826319998,NA,NA
"A6NH11",NA,NA,19.2107972699038,19.0529439248383,20.4796897192203,NA,NA,NA,NA,21.30903688471,NA,NA
"A8K2U0",24.9063068271094,24.001935809181,22.895918058286,23.1472632695622,22.9837774292238,23.6736240122248,23.6671094757096,22.9394620493097,22.5124424966534,22.7070473864709,23.1630451306797,23.9736860911148
"O00151",NA,NA,15.612664866101,15.9290456574314,NA,NA,18.6929760455673,NA,NA,NA,18.6230891902445,NA
"O00194",NA,NA,NA,19.0600400333989,NA,NA,NA,15.2766377973635,NA,NA,18.0969366417524,NA
"O00299",NA,NA,NA,17.2631393863772,17.3497136973149,16.1254160222664,17.2791186227368,NA,17.6228893040673,17.2984731176453,17.2096792911434,16.5727404188147
"O00391",14.6785363877152,14.2846138589158,15.6815094180427,15.0245581547622,15.5895823747552,16.6145917364506,16.1852065482076,15.3620775169413,15.402595353645,13.706250469661,15.4226429421839,14.4554224661181
"O00461",17.1213222605669,NA,NA,15.3260788521178,NA,NA,NA,NA,17.5419023589758,NA,NA,NA
"O00533",16.324195236938,15.8002625555133,16.3503673331236,14.4935069136064,14.1235402648587,14.073931983194,16.2057819135878,15.8957770517581,15.1107170470045,14.2045461592711,15.0869602617526,16.6067935637992
"O14773",NA,NA,NA,15.957666479362,NA,17.2092676508908,18.0786339683244,NA,16.7298247481037,17.7898637712486,NA,NA
"O14791",19.0318797402153,19.0905190614518,18.9022295151094,17.8853914562903,18.8959296908393,19.9076580271317,18.2909340065476,18.9354080171067,19.0773192344584,19.0906853926935,19.0311744470798,18.9901037724249
"O15204",NA,13.8315012054229,16.9269542198446,16.3133873008099,16.4104784699062,16.5160069022717,16.3574987599998,16.6742876747077,18.8819784314239,16.4737016629045,17.0744758482322,15.9539083550632
"O15394",NA,13.7529833507661,15.0915696666043,14.1981298532259,NA,14.0587756380909,14.1240058265663,15.4759695162183,13.7264460271173,14.2566932319945,NA,13.1320613050057
"O43548",NA,NA,NA,19.9075452176128,19.6274488224862,NA,19.0433556890056,NA,18.1902625275567,NA,NA,NA
"O43866",19.5528373697637,18.6251317734902,18.8088357853244,17.9649038437122,19.2742077657173,18.6830277859536,17.2600060072821,19.5492242988243,19.7635993518117,20.77101834827,19.6621753041179,18.52206932131
"O60462",NA,NA,17.9289865776287,17.6845932425017,NA,16.8578562364602,NA,NA,18.9502748796744,NA,NA,NA
"O60568",NA,NA,18.025989411812,21.1354273352668,NA,16.8341118638988,NA,NA,16.3034540066092,NA,NA,16.6576916145858
"O60664",NA,16.0620564591617,NA,16.4990079435887,NA,NA,NA,NA,NA,NA,NA,15.6602136991246
"O75015",NA,NA,14.3214362179999,14.4835653695135,14.4080941162685,NA,NA,NA,15.7495016793286,14.4728248230902,NA,14.1720702426668
"O75023",NA,NA,NA,16.907804519028,NA,15.7564152828429,16.0041183073619,NA,16.2622964274132,NA,NA,NA
"O75083",17.5253343052892,NA,NA,16.3171937057961,NA,NA,NA,NA,NA,NA,NA,15.9926837677757
"O75368",16.4674669476783,17.111838497328,15.5404307138421,14.8993046357393,17.1735550575439,16.6194327547496,18.0164807164847,17.3497469226537,NA,18.9565845009411,18.3203884644403,NA
"O75563",NA,NA,NA,14.6688745138961,NA,NA,NA,NA,NA,19.1418122484605,18.7459916055449,NA
"O75636",19.8010149678047,18.9782314016789,19.5570602024439,18.271179428684,18.1536425793953,19.1078309528975,18.8693518394157,18.8715461967618,18.4027679727775,18.5966428206916,19.0613751641948,16.1739192049891
"O75882",18.0708433340031,18.2919634337829,17.438378780675,16.5811692294248,17.1843377961482,17.3090369485411,17.9096197359846,18.065203445263,17.7251683132381,17.7308259628317,17.2341083708622,17.0638249814146
"O76076",NA,NA,15.5489365158267,15.5262859284976,NA,15.2028848756261,NA,NA,16.3287534810237,13.7680419799775,NA,14.5736006335584
"O95071",NA,NA,NA,18.0173719462442,NA,NA,NA,NA,16.7738952541336,NA,NA,18.0951861561147
"O95394",NA,NA,NA,16.3845798227292,18.1044951732911,NA,NA,18.6203009280462,NA,NA,NA,NA
"O95428",NA,NA,NA,17.1037305481245,NA,NA,15.6581481313695,NA,17.0920754359889,NA,NA,NA
"O95445",16.704128262906,16.9331117499962,17.9502988585522,17.4331707143796,17.8924001736092,17.4639393266755,18.3999381704372,18.1317248552014,17.7855883307685,17.978887913468,18.1644356140433,16.4453063951238
"O95479",NA,NA,17.0765367146139,15.689454406899,NA,NA,NA,NA,15.8917750116258,NA,17.0212467480214,15.3027866988271
"O95497",21.4896324255871,17.9753879683796,19.2447434147525,19.790631144915,20.5803557545178,19.6131681903442,19.8434687100494,19.0784074132174,19.0645330700987,17.9987010999298,20.4017504837895,20.2320199579734
"P00338",NA,15.7396050080862,15.8830161909195,15.5521363547969,14.0070371536578,NA,NA,NA,14.4609930151015,15.8536615030449,NA,16.0488884101336
"P00450",17.0225593417852,18.5283707028077,18.5596321214788,18.0021736298608,18.2871538518915,18.6957058907923,18.0799501010468,18.3302297150554,18.3740645413212,17.5537492637614,17.7211423992479,18.2908543407253
"P00451",NA,15.2286988140645,NA,16.5300178810338,NA,NA,14.7405527414431,15.2612595770909,NA,NA,NA,17.053705547338
"P00488",NA,NA,16.8693760920319,15.3303507135284,NA,NA,15.9121933355532,NA,14.0678994639171,15.5303041032448,NA,14.7628771100457
"P00533",NA,NA,16.0127412428389,15.3334383164158,15.4051116779909,15.9535205685308,NA,NA,14.2813204744994,16.2596875940831,NA,15.4157792530141
"P00558",NA,19.2975552759225,18.2785831251167,15.618700338951,16.3624847745891,NA,NA,NA,NA,14.9288673210556,NA,NA
"P00734",17.2546891677552,16.8805360643433,17.5443979070159,18.0703112311777,17.6798955229449,17.8608672849497,17.2599026544355,17.6028116607812,18.2878260817737,17.6855334820431,17.5029037339462,17.5981875190218
"P00736",17.988090061218,17.849029250542,17.8088388019506,17.5857973393683,17.6940208191775,17.6425972708615,18.3052782980265,17.5069003747186,17.7911371911696,16.9607208728696,17.3255937591132,18.0797246283353
"P00738",18.4596517128412,19.3346571931158,19.4453308440844,21.1576679206757,19.1576705154288,19.5183124729143,19.5656836093721,18.6650077552371,19.4893005542266,19.5799963370523,19.1166216434923,20.2923408130688
"P00739",13.3246839928863,17.4367173696808,16.3574312325005,15.9911796426099,17.1253845120744,18.278618553932,16.7627866953985,16.0278483921376,15.7708583336147,16.761845780324,16.2922467459646,16.3892622142571
"P00740",17.5337869830527,16.6173487632683,16.3696708203731,16.9815769137293,16.5933779197398,16.4741589089015,16.4169609330867,17.2567811817067,17.8102030520568,17.6311637922881,16.8585340302791,18.1291868130855
"P00742",18.0041398165238,18.6030963199624,17.126178609701,18.2637672179656,17.0853909266616,18.7550903322452,18.3815920773274,17.3549657278664,18.6226938322642,16.556405105904,19.1170465616574,19.6639891635014
"P00746",NA,NA,15.9024688496944,15.1181400532595,14.8202286032763,16.0267527513588,14.7022934961552,13.2881466157533,14.8266668882321,NA,14.3417551575853,14.0660701898119
"P00747",17.5059553315601,16.8102002080388,16.541491575054,16.9297527091716,17.082856609214,16.7736771887908,17.1135946338461,16.9221992672394,16.7803500556412,17.7387658783772,16.8808350948157,16.5754206900692
"P00748",NA,15.5903307546747,15.9736172788825,15.7653257740732,16.7913875837724,16.2130820729489,15.6597975640032,16.6586842733375,16.9709426829562,15.6144968200032,16.355606378986,14.2479545342061
"P00751",19.6042717324428,19.283853533651,18.9563036959613,19.2822334995056,19.4779506581862,18.7857928101519,19.3095047454062,18.5526152979097,19.0261475551485,18.3153265400469,18.7039052257556,19.4238587296271
"P00915",20.123054466375,21.3808230713385,19.555597411672,17.8142245772654,21.6001922738943,20.7888549291837,20.0795258249643,19.6583164076857,19.4481660280188,20.6183925130011,20.0992735065228,19.1980874563279
"P01008",19.9912614557944,19.0348341018388,19.0936493360848,18.3917011596773,18.8292399003605,18.922182259009,18.7588953962031,19.0164194660303,19.2240894442858,19.2099897398028,18.694451665693,18.1573246568675
"P01009",19.910032349512,19.5966124028678,19.0246259511609,19.8372888160144,20.0139417897393,19.429137368441,18.5375102265725,18.9067643762293,18.7903657643725,19.0995895123091,19.065243224622,19.5417189762924
"P01011",18.0508990077355,18.1558281445062,18.4274990639465,16.8027642621166,17.6970710041693,19.6196651064183,17.0612329822774,17.3729087582624,18.7851682671608,17.0918353525524,17.4126668330319,20.2484944236872
"P01019",21.1237170658466,20.6062735448978,20.766317652653,19.5171743104397,20.6637440046883,21.2024755472607,20.1276608979552,20.7550742006851,20.3754462742856,20.4567453100143,20.624801641048,21.3267908130135
"P01023",18.7328349275604,18.1841368814295,18.7949293049803,18.8231133816381,18.8250867132709,18.1675664633288,18.606888373492,18.88336126107,18.5360184537365,18.7104459808009,18.3703324807205,18.9888388998151
"P01024",17.4631180174851,17.705390319398,17.6692347979235,18.3125355271625,18.0447716676881,18.2096399606002,17.8358805317072,17.409933919645,17.7563840726666,17.6350637299041,17.6059731242698,17.8415052457831
"P01031",17.7541977657698,17.324534434337,15.8364089104391,16.4971289395501,15.9893187750767,15.8470364835125,15.9550971152769,15.6897126714235,13.4361732320341,15.1738428825973,16.5475965528738,16.83892090511
"P01033",14.8014139118574,NA,15.0031335677972,14.6361669420211,14.5343983993746,15.1337365615526,15.0612670903481,NA,15.3595814768041,14.3522865926074,14.4833108108531,15.5781638393516
"P01034",17.313734224967,17.9736630173004,18.7993925535135,17.7674144746334,NA,15.3248421367967,18.4003882831546,18.2809862477937,15.2811515786266,NA,18.6538276999552,19.2727053271741
"P01040",NA,18.4969326690152,16.1951591866372,17.3414601780157,NA,NA,NA,18.7814060499751,17.9848529607163,18.890012724403,NA,17.3491988307648
"P01042",18.1656430772957,18.013011444119,18.5265687753119,18.3778708750196,18.5620586813996,18.553542913903,18.141585713367,18.7364734791223,18.3589829336271,18.9208665015068,18.1309983810896,17.501369581094
"P01127",NA,NA,NA,17.526799595706,NA,18.0874205028438,17.2471841668441,17.6686711721298,NA,15.4175763354528,NA,18.7247545427098
"P01130",NA,18.8164268707002,15.3695232537388,18.7514525357798,15.5350050004375,NA,16.8147316820032,NA,NA,NA,16.4769468415353,NA
"P01137",17.3288371784404,14.6190812158174,NA,14.5557336139744,NA,15.7523822791688,15.3923830106421,NA,NA,16.0006839719584,16.5334051475537,NA
"P01591",20.9840501795544,19.7007251259266,20.0543192289029,20.9697525408222,21.2423851073436,21.164596017517,19.8523402831406,20.1121038317898,20.7049498102429,21.0274525240437,21.2076464237653,20.1956910300887
"P01594",NA,15.8792878242251,17.5489224690857,14.971938286631,18.8060668884778,18.7701439455931,14.0885021555852,18.3636193668879,18.7917487741289,18.0006204878115,18.3991499459521,18.4796575379159
"P01601",18.0916909779314,16.2481884733502,15.371503465237,15.8423471067059,16.5686512417957,13.4610560331212,15.1900878721742,14.149201530801,15.4082638365732,16.0632703060521,17.9231049295149,16.50403469661
"P01619",22.7095778489484,21.8123018715731,23.4222498439611,23.9182421605826,23.9504670117787,21.2883908501678,23.7838227673013,21.2079426793471,22.2361331612279,23.0431386508535,20.1749413311915,20.4708602048527
"P01624",18.4215973988791,19.9041771735698,18.6896174116252,18.2172587687148,19.3214860328684,19.2054343393294,18.8810432247862,19.7492749313044,18.8697964525087,18.435964752556,19.3948276956569,19.6570781605093
"P01700",21.7119778960615,21.8351495154817,19.9140672466301,20.0599529887336,20.8774396505589,19.9858547894906,20.3286728611654,19.4139743350254,19.256977679744,19.9110621774069,19.7657430285207,20.220681897578
"P01703",18.9203723252741,19.6062173825147,17.4541427411287,19.0881587317779,19.8035078103857,19.3061148936662,18.5930460324877,17.697082375486,17.7350148618624,19.3583038061212,18.0797146035937,18.1460853758529
"P01704",18.4873512267634,19.0225423172686,21.0514727328936,17.7640647177446,17.7586092653104,21.0350343951248,19.3677614850848,19.942703526843,17.788275438177,18.1987647794241,17.5841803171622,19.4366205587855
"P01714",19.6001667251453,20.3742526132508,17.2803099787632,18.1352221368698,20.0653488178855,20.498162023319,17.3795069969888,17.2479265801192,18.0197954403469,18.1435375371213,19.1153441923484,17.1806128543282
"P01715",19.6553817281737,19.9262431996429,16.6859891839059,19.6858210213464,17.7836556288643,18.7343445813435,15.8477676885696,16.9578339268967,18.151996765635,16.7312465804413,17.6560507211053,16.4182545369422
"P01717",23.0365787708575,24.2645977800335,22.199086746818,20.4315013110714,22.0698401667789,20.3102608825388,21.6017651251189,22.0140523737258,21.0604968362287,20.2518548262714,20.8612472688532,20.2697444497289
"P01718",24.7211035170409,25.8291579018293,24.0087444396678,23.067518326003,23.9643409821487,25.2083882404962,22.6273466389359,20.8862006496242,22.9915147547025,23.3650579682311,24.9875817291771,22.9555714189095
"P01721",21.2128541665868,19.5931748373662,18.4298949930496,20.1909923216141,18.2658277193738,20.3995836998039,18.7302360596875,20.6246204127801,18.5126451287602,20.6012568085877,19.2409802817824,18.9177870596845
"P01742",17.031405163063,17.4568875367606,NA,16.167283867266,18.0892877902465,17.9855798164832,16.1310858511918,15.4702745982354,14.4917372788062,NA,17.7396004510687,NA
"P01766",20.5787845356074,21.2161775364226,19.9771494355613,19.3635199838179,20.1638797596495,18.9731559434361,21.1556993634869,16.7679804433606,19.767517634585,18.5524403533558,18.3038462410391,19.089830978809
"P01767",18.9953489741648,18.1231335103051,19.952545331429,19.7355184368224,21.1513979419638,20.4413464986564,18.6013376917815,19.3100636233594,21.1682815188261,20.4768372055721,20.9926111275007,19.724509188309
"P01780",21.5190860774491,21.2540285304856,20.3470605904096,20.3279035510459,16.7086798666894,16.6514453560577,19.3095121208979,20.1018150067302,19.2093374258643,19.9097860642064,17.9432686739464,19.3398352979267
"P01824",18.9923682241694,18.7830718448194,17.1342024641362,17.1394441229997,18.6262705836518,17.0927231002291,16.5780722607131,16.1370712383329,16.0432947289864,14.8556414717214,18.8626547166522,18.4883778352165
"P01833",NA,NA,14.6664100890317,14.9903066945369,15.4470354829213,14.2947732909257,16.2238598175864,NA,NA,NA,16.2000144365121,16.0245434592351
"P01834",15.5147264131911,NA,18.9717992504369,18.1345066734154,18.6167410620885,18.5421348763384,17.7284546530958,17.6452589080501,19.5690769391758,18.6094806654478,18.4319118271092,16.1457259332158
"P01854",NA,NA,NA,15.6018239674854,NA,NA,NA,NA,NA,NA,16.203875638789,17.3705872075961
"P01859",18.7156301131914,18.1334352767189,17.9739066429056,19.2600712585594,19.5109302573869,19.4018826899756,18.3673459273244,17.3765621851157,18.5166829847468,19.3515844187426,19.6754808989501,17.4442123873921
"P01860",18.3296106892425,21.3057551063966,21.1107362620873,20.1425822090076,19.7555664523209,19.4615054498155,19.4990112173437,18.3624982539865,18.8702839830941,19.0306650764277,19.8927149570439,18.1096969977646
"P01861",12.1801177591638,11.5290322342494,14.384031353875,15.4315704011488,17.334199404464,14.1004917258238,16.6067788934845,12.7842591434432,15.4105356122264,15.3549628084527,14.5475150636023,13.3012710425314
"P01871",19.9073252195052,18.9056751767993,19.5231462771832,20.2760023760837,19.3547472862244,18.7937577730063,19.0673858886492,19.2499265735518,18.6393350977067,19.6571706234952,19.2458034064002,18.8654925576576
"P01876",16.5840449691432,16.889386464141,17.3196059781995,18.6528780236489,17.7442066065598,18.1088536343265,17.318968208625,18.2242586082888,18.305890508697,17.9398737290149,18.0466029000283,17.2455038537247
"P01877",14.080257127051,17.3600496626793,15.7490021195502,16.5819267232578,14.2247975991892,15.502398246307,14.4249678848002,14.1980045224624,15.9531334142917,13.0814003855024,15.2827745334339,17.0768387727827
"P02042",17.5747284908969,18.857774311319,17.5282312417411,16.2811567778665,18.4897251012225,17.9944916892109,17.584552311821,17.5217836239722,16.7633122081517,18.6950651746357,16.8235776780882,15.7942458787189
"P02452",18.135889122785,NA,15.8091027384101,16.8272281617642,15.1461342264581,NA,17.8135414824529,17.549350886,16.62764416167,NA,NA,17.7553702441196
"P02533",18.7251811362144,18.5126953278093,17.5799802378425,17.4599975372347,17.5626127645322,18.0475518689155,17.8293859985506,17.7460543591076,17.8048047995413,17.0634110466467,18.3105583459209,19.2884225082563
"P02538",17.3481720068561,14.5881687624164,15.2156002586844,15.6604621028906,14.4887375311426,16.10616318149,15.7670249234236,15.8876458081624,16.1640045382103,15.872171732806,16.0216442720818,17.2826804770573
"P02647",20.025790996659,19.0637642911266,18.6001325165939,19.9803757900834,18.9308854403699,18.929669498807,18.93726302306,19.0589517869235,18.813489318234,18.6492125900652,18.3678744361337,17.9934239964694
"P02649",21.2073779112468,19.8295337344455,20.2315816252378,18.7617659251472,20.6857063304663,20.9838977334851,20.2638295467169,19.7387166731474,19.6574314422912,20.1291748190923,20.334297640512,19.9061134273761
"P02652",21.1335599817838,20.2496539026617,19.0101801487422,23.7971521382492,19.7157334638154,18.619073372854,23.6149671820991,20.1527867863384,22.0307303611737,19.3339641654482,19.3726052639317,18.0493139948791
"P02654",18.4199981047292,19.2856856559247,18.6357715378414,19.0402765504436,19.6190308421396,18.4296980407335,18.5450180660867,18.3094109082126,18.8456804010744,18.439337738504,17.8580379002866,17.5484986404332
"P02655",21.2821354649977,19.7650524079554,19.8300500741801,20.3554362232075,20.0539295799324,20.3085448515612,20.4285946219868,20.0519204244265,20.5640439353131,18.5109843573612,19.5830046984001,18.7029512671105
"P02656",20.8919669471918,20.4039578367935,20.2627837564945,19.8856837050412,20.5513085740536,19.497099079422,20.1328969571447,19.0446469587677,19.0444450693554,19.3243153478104,20.4134490124185,18.3138536098708
"P02671",20.9832694823163,19.6034991658734,19.6605231450571,19.9980699466054,20.3361146335779,18.4099290252545,18.4173721241487,19.2341780830022,19.6106248832212,19.9816392762726,17.68096232244,21.9114209531675
"P02675",17.7310935717886,15.9821639703436,15.3331777023294,15.4272504628263,14.08604953024,13.9458339422361,16.3525837731844,13.5915705095569,NA,19.5002039749011,NA,21.7869752697223
"P02679",16.6579167718346,17.2179352035636,14.4702373254921,15.1561821121411,14.8469899341503,14.4024887094378,15.2255151889974,12.2801137762926,13.6612890431526,16.096010840626,13.4459588409025,20.0132386350401
"P02741",NA,NA,NA,16.0749099605809,14.9013709337045,NA,NA,NA,NA,NA,NA,20.0865209395719
"P02743",19.9524814949882,20.2345213033204,19.6850218208791,19.1909227255334,19.6849726320466,19.8888584189631,20.2907166229911,19.7818990747652,19.7613556630321,19.1761782144781,19.1776033458761,20.5949517873148
"P02745",15.8041440957601,17.9811177309237,16.6378796297148,17.9287133774308,14.7949375194844,15.725955812412,16.8995856045711,16.6703885080039,15.3982105868663,13.0199540541176,16.1458062479848,16.3434137433227
"P02746",16.2492154665204,16.0998273184185,16.1150153445975,16.5806648847031,16.4332205369875,16.8180569794684,16.0193451556063,15.5090337312957,16.5339124698075,16.8920574853006,16.2523296960939,17.0330596990998
"P02747",19.3382177698207,18.7615200113075,19.0709750970258,18.3007134444402,19.020247379124,19.2316846372477,19.6149895272312,18.3918018040895,18.6941651403516,18.9950899767944,18.7794610635826,19.985912926462
"P02748",18.0363865504541,18.1547505896063,17.4093257954514,17.6943109246493,17.5621342481593,17.9799595961475,16.9818440203419,17.4407015692015,17.6200407118499,18.049993715956,17.220041646204,18.1820315206403
"P02749",17.5740664323411,17.2966760193716,17.5346804836047,18.6407236548788,17.7222688808629,17.7120386509074,16.875327120638,17.6886773886547,16.9598898052016,18.3778602206805,17.0103698581222,17.2816453790778
"P02750",22.2021337753117,21.5556598337657,20.9026247480244,25.93887613854,20.6587263977918,20.7841666861943,20.5445941839844,21.1794552353423,19.9601680622176,20.602779250058,20.7083894246974,21.9825180523686
"P02751",19.2041155311752,18.6156879709334,18.4094648457742,18.0870619943432,19.0814895835626,18.1655643497327,19.0594632382526,17.6847812309064,18.3644087606632,16.3643407771026,18.6098638215805,18.6408623102661
"P02753",17.2883463216065,16.5551964683618,16.3799854585985,16.6042450536163,16.9004770160044,17.5353080656103,18.1003796107332,17.6619103476293,17.7518823423747,NA,17.5487392203883,15.64374849949
"P02760",15.2385251718273,16.2478895323818,17.3839041564026,16.2146524566585,17.642373614136,16.8068653194316,17.4368212842562,15.7731184739695,17.8720360846125,17.3756086529892,15.6417410306847,16.5043469515965
"P02763",20.5418056621265,19.4719068543151,19.13515988174,21.5277601968579,19.1105810240988,19.683151877507,19.1321034809986,19.8501661107515,19.780838026625,18.8300996378407,18.9352399922862,20.1932487786395
"P02765",19.8978093116833,18.4612536900679,19.1002804085006,21.1938217962713,19.5835806253937,18.9944699009583,19.0658772158271,20.3987568248261,19.6164608092972,19.2745515861752,19.2918257556101,17.7907897405863
"P02766",20.5886205771926,18.5646355311254,17.3447104003333,18.4733717514463,19.5440231294906,17.8817214468095,19.0297242104769,18.2331647532555,17.2164292530465,16.2510029597307,16.8398805240507,16.0849399600154
"P02768",19.5416205009906,19.2230933436533,19.262189812195,20.6319379655745,19.3151021310662,19.1196826880989,19.3029277586065,19.290482566909,19.640442118374,19.4558335525601,19.8324156144808,19.0974731646482
"P02774",18.8454375023718,18.0707192137436,18.3788875538659,19.1449828159095,16.6441195318934,17.4925042688438,18.3817626297432,18.3074261735995,18.7927218776878,17.3912558784739,18.242369076535,17.8768320239035
"P02775",19.4013353083078,18.895973067709,18.0883793938197,18.2115638645372,18.8626947860383,18.7406690723172,18.8089808037962,19.0307735623722,18.4582092426931,19.9185358904606,18.5333341665095,18.0834682437045
"P02776",NA,NA,NA,NA,15.7810799545655,16.242982165454,NA,15.9115177633275,17.006652143426,16.9527690846515,NA,NA
"P02786",18.0676012250766,17.7395182261949,16.2452560794707,17.1487093916822,17.2619248347793,16.59310891296,16.2744598892588,17.6384288372119,16.7776602196759,15.6314229520535,16.9705406369196,NA
