"interaction","ligand","receptor(s)","file","count"
"ADAM12_SDC4","ADAM12","SDC4","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv",7
"ADAM15_CDH1","ADAM15","CDH1","NicheNet-LR-pairs.csv",1
"ADAM15_ITGA5","ADAM15","ITGA5","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv",7
"ADAM15_ITGA9","ADAM15","ITGA9","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv",7
"ADAM15_ITGAV","ADAM15","ITGAV","Cellinker_Homos_2021.txt; Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx",7
"ADAM15_ITGB1","ADAM15","ITGB1","Cellinker_Homos_2021.txt; Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv",8
"ADAM15_ITGB3","ADAM15","ITGB3","Cellinker_Homos_2021.txt; Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv",8
"ADAM17_ERBB4","ADAM17","ERBB4","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv",6
"ADAM17_GHR","ADAM17","GHR","NicheNet-LR-pairs.csv",1
"ADAM17_IL1R2","ADAM17","IL1R2","NicheNet-LR-pairs.csv",1
"ADAM17_IL6R","ADAM17","IL6R","Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; NicheNet-LR-pairs.csv",3
"ADAM17_ITGA5","ADAM17","ITGA5","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; ICELLNETdb_v2_new.xlsx; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv",8
"ADAM17_ITGB1","ADAM17","ITGB1","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; ICELLNETdb_v2_new.xlsx; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv",8
"ADAM17_MET","ADAM17","MET","Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv",2
"ADAM17_MUC1","ADAM17","MUC1","Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv",2
"ADAM17_NGFR","ADAM17","NGFR","NicheNet-LR-pairs.csv",1
"ADAM17_NOTCH1","ADAM17","NOTCH1","CellCall-2021_new.xlsx; Cellinker_Homos_2021.txt; Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv",9
"ADAM17_NOTCH4","ADAM17","NOTCH4","CellCall-2021_new.xlsx",1
"ADAM17_PTCH1","ADAM17","PTCH1","NicheNet-LR-pairs.csv",1
"ADAM17_RHBDF2","ADAM17","RHBDF2","Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv",2
"ADAM17_TNFRSF1A","ADAM17","TNFRSF1A","NicheNet-LR-pairs.csv",1
"ADAM17_TNFRSF1B","ADAM17","TNFRSF1B","NicheNet-LR-pairs.csv",1
"ADAM20_IL1RAPL1","ADAM20","IL1RAPL1","Cellinker_Homos_2021.txt",1
"ADAM20_IL1RAPL2","ADAM20","IL1RAPL2","Cellinker_Homos_2021.txt",1
"ADAM21_CLEC12B","ADAM21","CLEC12B","Cellinker_Homos_2021.txt",1
"ADAM21_CRTAM","ADAM21","CRTAM","Cellinker_Homos_2021.txt",1
"ADAM21_IGSF21","ADAM21","IGSF21","Cellinker_Homos_2021.txt",1
"ADAM23_ITGA4","ADAM23","ITGA4","Human-2020-Hou-LR-pairs.xlsx; Human-2022-Dimitrov-LR-pairs.csv",2
"ADAM23_ITGA5","ADAM23","ITGA5","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2020-Hou-LR-pairs.xlsx; Human-2022-Dimitrov-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv",6
"ADAM23_ITGB3","ADAM23","ITGB3","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2020-Hou-LR-pairs.xlsx; Human-2022-Dimitrov-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv",6
"ADAM28_ITGA4","ADAM28","ITGA4","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; ICELLNETdb_v2_new.xlsx; LRdb_122019_SingleCellSignalIR.xlsx",7
"ADAM28_ITGB1","ADAM28","ITGB1","ICELLNETdb_v2_new.xlsx",1
"ADAM29_ITGA4","ADAM29","ITGA4","Human-2020-Hou-LR-pairs.xlsx; Human-2022-Dimitrov-LR-pairs.csv",2
"ADAM2_CD9","ADAM2","CD9","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx",5
"ADAM2_ITGA6","ADAM2","ITGA6","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv",7
"ADAM2_ITGA9","ADAM2","ITGA9","Cellinker_Homos_2021.txt; Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx",7
"ADAM2_ITGB1","ADAM2","ITGB1","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv",7
"ADAM2_ITGB7","ADAM2","ITGB7","Cellinker_Homos_2021.txt; Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx",7
"ADAM7_ITGA4","ADAM7","ITGA4","Human-2020-Hou-LR-pairs.xlsx; Human-2022-Dimitrov-LR-pairs.csv",2
"ADAM7_ITGB7","ADAM7","ITGB7","Human-2020-Hou-LR-pairs.xlsx; Human-2022-Dimitrov-LR-pairs.csv",2
"ADAM9_CDH1","ADAM9","CDH1","NicheNet-LR-pairs.csv",1
"ADAM9_ITGA1","ADAM9","ITGA1","ICELLNETdb_v2_new.xlsx",1
"ADAM9_ITGA3","ADAM9","ITGA3","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; ICELLNETdb_v2_new.xlsx; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv",8
"ADAM9_ITGA6","ADAM9","ITGA6","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; ICELLNETdb_v2_new.xlsx; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv",8
"ADAM9_ITGAV","ADAM9","ITGAV","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; ICELLNETdb_v2_new.xlsx; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv",9
"ADAM9_ITGB1","ADAM9","ITGB1","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; ICELLNETdb_v2_new.xlsx; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv",11
"ADAM9_ITGB5","ADAM9","ITGB5","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; ICELLNETdb_v2_new.xlsx; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv",8
"ADAMTS3_CCBE1","ADAMTS3","CCBE1","Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; OmniPathPPIs_new.tsv",3
"ADA_DPP4","ADA","DPP4","Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx",3
"ADCK1_PLAUR","ADCK1","PLAUR","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"ADCK1_STOML2","ADCK1","STOML2","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"ADCYAP1_ADCYAP1R1","ADCYAP1","ADCYAP1R1","CellCall-2021_new.xlsx; CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx; Cellinker_Homos_2021.txt; Human-2014-Qiao-LR-pairs.xlsx; Human-2015-Ramilowski-LR-pairs.xlsx; Human-2017-Pavlicev-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2019-Ximerakis-BaderLab-2017_new2.xlsx; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; Human-2023-Zhao-LR-pairs_new.tsv; ICELLNETdb_v2_new.xlsx; Interaction_input_Vento_Cellphonedbv5_new.csv; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv; OmniPathPPIs_new.tsv",18
"ADCYAP1_ADORA2A","ADCYAP1","ADORA2A","NicheNet-LR-pairs.csv",1
"ADCYAP1_ADORA2B","ADCYAP1","ADORA2B","NicheNet-LR-pairs.csv",1
"ADCYAP1_ADRB1","ADCYAP1","ADRB1","NicheNet-LR-pairs.csv",1
"ADCYAP1_ADRB2","ADCYAP1","ADRB2","Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv; OmniPathPPIs_new.tsv",5
"ADCYAP1_ADRB3","ADCYAP1","ADRB3","Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv; OmniPathPPIs_new.tsv",5
"ADCYAP1_AR","ADCYAP1","AR","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"ADCYAP1_AVPR2","ADCYAP1","AVPR2","NicheNet-LR-pairs.csv",1
"ADCYAP1_CALCR","ADCYAP1","CALCR","NicheNet-LR-pairs.csv",1
"ADCYAP1_CALCRL","ADCYAP1","CALCRL","NicheNet-LR-pairs.csv",1
"ADCYAP1_CRHR1","ADCYAP1","CRHR1","NicheNet-LR-pairs.csv",1
"ADCYAP1_CRHR2","ADCYAP1","CRHR2","NicheNet-LR-pairs.csv",1
"ADCYAP1_DPP4","ADCYAP1","DPP4","Cellinker_Homos_2021.txt; Human-2019-Ximerakis-BaderLab-2017_new2.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; OmniPathPPIs_new.tsv",5
"ADCYAP1_DRD1","ADCYAP1","DRD1","NicheNet-LR-pairs.csv",1
"ADCYAP1_DRD5","ADCYAP1","DRD5","NicheNet-LR-pairs.csv",1
"ADCYAP1_ESR1","ADCYAP1","ESR1","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"ADCYAP1_FAP","ADCYAP1","FAP","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"ADCYAP1_FSHR","ADCYAP1","FSHR","NicheNet-LR-pairs.csv",1
"ADCYAP1_GCGR","ADCYAP1","GCGR","NicheNet-LR-pairs.csv",1
"ADCYAP1_GHRHR","ADCYAP1","GHRHR","NicheNet-LR-pairs.csv",1
"ADCYAP1_GIPR","ADCYAP1","GIPR","CellCall-2021_new.xlsx; NicheNet-LR-pairs.csv",2
"ADCYAP1_GLP1R","ADCYAP1","GLP1R","NicheNet-LR-pairs.csv",1
"ADCYAP1_GLP2R","ADCYAP1","GLP2R","NicheNet-LR-pairs.csv",1
"ADCYAP1_GPBAR1","ADCYAP1","GPBAR1","NicheNet-LR-pairs.csv",1
"ADCYAP1_GPR15","ADCYAP1","GPR15","NicheNet-LR-pairs.csv",1
"ADCYAP1_GPR150","ADCYAP1","GPR150","NicheNet-LR-pairs.csv",1
"ADCYAP1_GPR176","ADCYAP1","GPR176","NicheNet-LR-pairs.csv",1
"ADCYAP1_GPR20","ADCYAP1","GPR20","Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv; OmniPathPPIs_new.tsv",5
